"smis_reference","event_date","period","place","report_title","sub_event","injury_degree_2013","fwi_2013"
SMIS238970,2018-05-12 04:00:00.000,201802,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239110,2018-05-13 02:00:00.000,201802,Barton Mills LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238984,2018-05-14 11:00:00.000,201802,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239040,2018-05-15 08:45:00.000,201802,Warrington Arpley MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239071,2018-05-16 00:00:00.000,201802,Haymarket TMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239119,2018-05-16 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS4320805,2018-05-17 04:40:00.000,201802,Craigentinny LMD (Edinburgh),Personal accident form,person interaction,Non-severe,0.001
SMIS239067,2018-05-17 05:39:00.000,201802,Dartford Station Approach MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239152,2018-05-20 04:50:00.000,201802,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239200,2018-05-22 10:30:00.000,201802,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239667,2018-05-23 00:15:00.000,201802,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239189,2018-05-23 15:00:00.000,201802,Newport Godfrey Rd MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239337,2018-05-29 14:15:00.000,201803,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239410,2018-06-01 11:33:00.000,201803,Northampton Bridge St MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239437,2018-06-02 00:00:00.000,201803,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310117,2018-06-04 02:20:00.000,201803,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311902,2018-06-04 12:10:00.000,201803,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239743,2018-06-05 15:30:00.000,201803,Tonbridge MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239849,2018-06-05 18:45:00.000,201803,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2322851,2018-06-05 22:00:00.000,201803,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239853,2018-06-06 14:30:00.000,201803,Birkenhead North LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239510,2018-06-07 00:00:00.000,201803,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239578,2018-06-11 12:30:00.000,201803,Gillingham (Kent) MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239763,2018-06-15 10:45:00.000,201803,Shields ET Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239739,2018-06-15 21:00:00.000,201803,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239857,2018-06-18 00:00:00.000,201803,Old Oak Common LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2310305,2018-06-18 05:05:00.000,201803,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239760,2018-06-18 09:30:00.000,201803,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239759,2018-06-19 01:10:00.000,201803,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311076,2018-06-19 22:40:00.000,201803,Banbury Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239836,2018-06-21 12:30:00.000,201803,Holbeck Jcn & Depot (Leeds),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239952,2018-06-25 15:30:00.000,201804,Derby RTC Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239978,2018-06-26 11:00:00.000,201804,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239950,2018-06-26 14:45:00.000,201804,Barnham MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310025,2018-06-26 23:00:00.000,201804,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239944,2018-06-26 23:31:00.000,201804,Ipswich MDU,"Person interacting with animal, object,  vehicle or another person",slip trip or fall; person interaction,Non-severe,0.001
SMIS2310000,2018-06-27 07:30:00.000,201804,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310081,2018-06-28 00:20:00.000,201804,Sheffield LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310547,2018-06-30 01:10:00.000,201804,Bridgeton Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310308,2018-07-02 02:30:00.000,201804,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310090,2018-07-02 10:45:00.000,201804,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310208,2018-07-02 13:00:00.000,201804,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310454,2018-07-03 10:50:00.000,201804,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310142,2018-07-04 11:10:00.000,201804,Ryde LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310190,2018-07-05 12:09:00.000,201804,Cambridge Adj Mill Rd MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310238,2018-07-05 15:00:00.000,201804,Shields ET Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310199,2018-07-06 01:50:00.000,201804,Bounds Green LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310349,2018-07-07 00:45:00.000,201804,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310745,2018-07-07 02:00:00.000,201804,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310511,2018-07-09 03:00:00.000,201804,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310273,2018-07-09 16:15:00.000,201804,Ipswich MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310437,2018-07-11 00:00:00.000,201804,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312409,2018-07-13 02:00:00.000,201804,Derby MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2316377,2018-07-16 10:30:00.000,201804,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312475,2018-07-17 00:00:00.000,201804,Eastfield TMD (Glasgow),"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2310780,2018-07-18 02:20:00.000,201804,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2311083,2018-07-18 09:25:00.000,201804,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310756,2018-07-19 13:40:00.000,201804,Shrub Hill LMD (Worcester),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310744,2018-07-19 14:30:00.000,201804,Shrub Hill LMD (Worcester),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS4321296,2018-07-20 12:15:00.000,201804,Bounds Green LMD,Personal accident form,person interaction,Non-severe,0.001
SMIS2310692,2018-07-23 00:00:00.000,201805,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310642,2018-07-23 09:00:00.000,201805,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310687,2018-07-25 16:21:00.000,201805,Sittingbourne MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310821,2018-07-26 02:50:00.000,201805,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311673,2018-07-27 04:30:00.000,201805,Gillingham Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310804,2018-07-27 11:00:00.000,201805,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310815,2018-07-28 13:30:00.000,201805,Lovers Walk TMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS4321348,2018-07-29 09:48:00.000,201805,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,Severe 7,0.01
SMIS2310859,2018-07-31 09:00:00.000,201805,Theale Murco Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311135,2018-07-31 15:30:00.000,201805,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2310985,2018-08-02 11:00:00.000,201805,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311022,2018-08-04 12:46:00.000,201805,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311493,2018-08-04 17:15:00.000,201805,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311176,2018-08-06 11:40:00.000,201805,Brickyard Farm FPS,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311025,2018-08-07 01:18:00.000,201805,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311153,2018-08-08 04:00:00.000,201805,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311298,2018-08-08 14:33:00.000,201805,Shoeburyness CSD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311825,2018-08-09 01:00:00.000,201805,Stourbridge Junction Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311233,2018-08-10 00:01:00.000,201805,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311436,2018-08-12 09:15:00.000,201805,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311344,2018-08-14 02:25:00.000,201805,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311427,2018-08-14 09:00:00.000,201805,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311371,2018-08-14 23:30:00.000,201805,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311542,2018-08-19 00:30:00.000,201806,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311514,2018-08-20 00:30:00.000,201806,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311557,2018-08-20 02:40:00.000,201806,Bounds Green LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311559,2018-08-21 03:45:00.000,201806,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311571,2018-08-21 10:20:00.000,201806,Haymarket LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311628,2018-08-23 00:15:00.000,201806,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311619,2018-08-23 07:45:00.000,201806,Dartford Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311650,2018-08-26 03:35:00.000,201806,Oxford Down Carriage Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311720,2018-08-29 11:25:00.000,201806,Willesden Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311727,2018-08-29 20:00:00.000,201806,Slade Green LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311776,2018-08-30 16:30:00.000,201806,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311891,2018-09-02 08:46:00.000,201806,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2311953,2018-09-02 13:30:00.000,201806,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311837,2018-09-03 11:00:00.000,201806,Swindon MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311860,2018-09-04 11:00:00.000,201806,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311920,2018-09-06 00:00:00.000,201806,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312000,2018-09-06 08:00:00.000,201806,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311967,2018-09-10 00:00:00.000,201806,Crown Point LMD (Norwich),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2311982,2018-09-10 13:39:00.000,201806,Orpington Portacabins Cp MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312025,2018-09-12 00:00:00.000,201806,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312055,2018-09-13 20:10:00.000,201806,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312044,2018-09-14 01:15:00.000,201806,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312273,2018-09-16 23:00:00.000,201807,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312145,2018-09-17 10:00:00.000,201807,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312217,2018-09-17 11:45:00.000,201807,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312265,2018-09-17 13:15:00.000,201807,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312178,2018-09-18 03:40:00.000,201807,Allerton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2312172,2018-09-18 22:40:00.000,201807,Northampton Bridge St MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312317,2018-09-19 09:55:00.000,201807,Corkerhill CSMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS4320918,2018-09-19 12:45:00.000,201807,Craigentinny LMD (Edinburgh),Personal accident form,person interaction,Non-severe,0.001
SMIS2312181,2018-09-19 13:30:00.000,201807,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312275,2018-09-20 12:30:00.000,201807,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2315336,2018-09-20 22:45:00.000,201807,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312243,2018-09-21 11:25:00.000,201807,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312247,2018-09-22 00:00:00.000,201807,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312285,2018-09-25 00:45:00.000,201807,Bletchley Carriage Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,None,0
SMIS2312396,2018-09-26 13:00:00.000,201807,Birkenhead North LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312349,2018-09-27 10:30:00.000,201807,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312338,2018-09-27 12:54:00.000,201807,Bristol West Depot FLT,"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2312388,2018-09-29 10:00:00.000,201807,East Ham LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312467,2018-10-01 01:00:00.000,201807,Ilford LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312416,2018-10-02 06:30:00.000,201807,Barnham MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312615,2018-10-04 07:15:00.000,201807,Lowestoft MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312481,2018-10-04 12:00:00.000,201807,Ferme Park Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312550,2018-10-07 00:00:00.000,201807,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312678,2018-10-08 22:50:00.000,201807,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312569,2018-10-10 00:30:00.000,201807,Chadwell Heath MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312904,2018-10-10 03:00:00.000,201807,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312728,2018-10-10 21:00:00.000,201807,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313264,2018-10-12 11:34:00.000,201807,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312811,2018-10-19 02:30:00.000,201808,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312810,2018-10-19 08:00:00.000,201808,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312875,2018-10-19 12:30:00.000,201808,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312937,2018-10-20 03:00:00.000,201808,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312792,2018-10-20 12:30:00.000,201808,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313289,2018-10-21 10:45:00.000,201808,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313816,2018-10-21 11:50:00.000,201808,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312812,2018-10-23 01:40:00.000,201808,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312837,2018-10-23 21:50:00.000,201808,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2312851,2018-10-25 03:15:00.000,201808,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313036,2018-10-25 16:20:00.000,201808,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313121,2018-10-28 22:05:00.000,201808,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313245,2018-10-29 10:30:00.000,201808,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313073,2018-10-31 08:45:00.000,201808,Birkenhead North LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313118,2018-11-01 02:50:00.000,201808,Colchester LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS2313217,2018-11-02 09:00:00.000,201808,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313217,2018-11-02 09:00:00.000,201808,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313153,2018-11-03 01:55:00.000,201808,Wembley Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313185,2018-11-06 11:22:00.000,201808,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313205,2018-11-10 21:30:00.000,201808,Liverpool Edge Hill MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313380,2018-11-15 01:15:00.000,201809,Blackpool North LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313565,2018-11-20 23:05:00.000,201809,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313412,2018-11-21 11:00:00.000,201809,Brighton Ced Swimu MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS2313464,2018-11-21 11:00:00.000,201809,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
