"smis_reference","event_date","period","place","report_title","description","injury_degree_2013","fwi_2013"
SMIS238427,2018-04-18 00:10:00.000,201801,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",Staff 24832 18/04/2018 Salisbury: MB2 felt a slight twinge in their back whilst operating points hand on Salisbury Traincare Depot,Non-severe,0.001
SMIS02503,2018-04-18 01:25:00.000,201801,Neville Hill LMD (Ns) Northern Rail,Awkward Body Movement,Fitter injured shoulder when moving coolant cart,Non-severe,0.001
SMIS309562,2018-04-18 03:35:00.000,201801,Farnham LMD,Slip trip or fall,Staff 39177 18/04/2018 ISS Contractor train cleaner STF boarding unit 458525 at Farnham Traincare Depot,Non-severe,0.001
SMIS309577,2018-04-18 16:05:00.000,201801,Clapham Jcn RSM Depot,Slip trip or fall,PA - Staff Accident - Inner DU - IP slipped on a wet floor at Clapham Depot causing swelling and bruising to the right knee and a sprain to the left shoulder,Non-severe,0.001
SMIS309868,2018-04-18 22:20:00.000,201801,Canton Buildings MDU,Slip trip or fall,"18042018 CTN 048 [MINOR][LTI]- Cleaner slipped on oil",Severe 7,0.01
SMIS19561,2018-04-19 00:00:00.000,201801,Bristol St Philips Marsh LMD,Other event resulting in injury or fatality,Late reported contractor accident at St Philips Marsh,Non-severe,0.001
SMIS238485,2018-04-20 09:23:00.000,201801,West Worthing Carriage Sidings,"Person interacting with animal, object,  vehicle or another person",PA -WD Contractor received a small cut to his wrist at West Worthing Sidings,Non-severe,0.001
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person","158830 20042018 MCN 043 [MINOR][LTI]- Employee fell when handle of bowden cable detached",Non-severe,0.001
SMIS02502,2018-04-22 01:20:00.000,201801,Neville Hill LMD East Midlands Trains,Awkward Body Movement,Strain / Sprain at Neville Hill,Non-severe,0.001
SMIS309700,2018-04-22 10:50:00.000,201801,Hove Goods Yard,Slip trip or fall,PA WD - MOS fell over and wrenched his shoulder whilst working in Hove Sidings,Non-severe,0.001
SMIS19548,2018-04-23 07:00:00.000,201801,Selhurst Depot,Other event resulting in injury or fatality,Shampoo bottle fell on staff member foot whilst changing for work- Selhurst Engineering Depot- 22/04/2018,Non-severe,0.001
SMIS238729,2018-04-24 03:05:00.000,201801,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",A Band B at Craigentinny trapped his finger when the lid from the 3 Phase Receptacle dropped.,Severe 7,0.01
SMIS238575,2018-04-24 10:00:00.000,201801,Derby MDU,"Person interacting with animal, object,  vehicle or another person",PA-IP Contractor bumped head whilst putting rails onto sleepers at Derby Sidings Yard. SCO ref 37054.,Non-severe,0.001
SMIS02517,2018-04-24 10:30:00.000,201801,Allerton LMD,Awkward Body Movement,Fitter injured back when working on unit 142033,Severe 7,0.01
SMIS238659,2018-04-24 11:40:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",TPL injured ear on open roof panel,Non-severe,0.001
SMIS19582,2018-04-24 13:00:00.000,201801,East Ham LMD (London),Other event resulting in injury or fatality,Bombardier Depot Storeman suffered puncture injury to left hand whilst unpacking a new component,Non-severe,0.001
SMIS238627,2018-04-26 03:00:00.000,201801,Hove Goods Yard,"Person interacting with animal, object,  vehicle or another person",PA - WD - Whilst using a jack the jack slipped causing the IP to fall and injured his back at Hove,Non-severe,0.001
SMIS02521,2018-04-26 11:00:00.000,201801,Heaton LMD,Awkward Body Movement,Fitter jarred back,Non-severe,0.001
SMIS02520,2018-04-26 13:05:00.000,201801,Lovers Walk TMD,Awkward Body Movement,Staff Member Pulled back working on train- Brighton Lovers Walk Engineering Depot- 26/04/2018,Non-severe,0.001
SMIS309783,2018-04-26 16:30:00.000,201801,Crown Point LMD (Norwich),Slip trip or fall,Driver STF on ballast by buffer stops on Rd 7 at NCP,Non-severe,0.001
SMIS238653,2018-04-27 09:45:00.000,201801,Knottingley MDU,"Person interacting with animal, object,  vehicle or another person",PA-DU York Section Administrator broke skin on finger whilst shuffling paper at Knottingley PWay Depot.,Non-severe,0.001
SMIS3010099,2018-04-28 09:30:00.000,201801,Bounds Green LMD,Slip trip or fall,A Band A at Bounds Green fell into the shallow pit,Severe 7,0.01
SMIS3010277,2018-04-28 22:50:00.000,201801,Carmarthen MDU,Slip trip or fall,"143624 28042018 CMN [MINOR]- Driver tripped on train step",Non-severe,0.001
SMIS19567,2018-04-29 00:00:00.000,201802,Bristol St Philips Marsh LMD,Other event resulting in injury or fatality,Staff injury at St Philips Marsh,Severe 7,0.01
SMIS309850,2018-04-29 00:00:00.000,201802,Etches Park LMD (Derby),Slip trip or fall,STF Other at EtchesPark,Non-severe,0.001
SMIS238672,2018-04-29 10:00:00.000,201802,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",Injured finger at Nevill Hill,Non-severe,0.001
SMIS238704,2018-04-29 10:05:00.000,201802,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",Technician sprained his lower back whist moving a bowser at Tyseley,Non-severe,0.001
SMIS238701,2018-04-29 13:45:00.000,201802,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person","Ramsgate shunter pulled neck, back and shoulder pulling points",Non-severe,0.001
SMIS3010013,2018-04-29 20:55:00.000,201802,Wembley C Sidings,Slip trip or fall,Fall on train,Non-severe,0.001
SMIS238696,2018-04-30 00:00:00.000,201802,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Contact dropped object at Etches,Non-severe,0.001
SMIS238707,2018-04-30 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",Fitter at Laira Depot struck by cable,Non-severe,0.001
SMIS309865,2018-04-30 15:34:00.000,201802,Grove Park LMD (London),Slip trip or fall,Grove Park sidings; shunter fell exiting cab 465911 65360,Severe 7,0.01
SMIS19570,2018-05-01 00:00:00.000,201802,Reading (Cow Lane) MDU,Other event resulting in injury or fatality,Fitter at Reading TCD strained his back whilst fitting a new WSP rack to 165107,Non-severe,0.001
SMIS238755,2018-05-01 11:00:00.000,201802,Ryde LMD,"Person interacting with animal, object,  vehicle or another person",Staff 19509 01/05/2018 Fitter based at Ryde St Johns TCD was flicked in the face with a spanner.,Non-severe,0.001
SMIS19569,2018-05-01 13:30:00.000,201802,Stoke On Trent MDU,Other event resulting in injury or fatality,MTC reports fitter has burnt his right hand.,Non-severe,0.001
SMIS238757,2018-05-01 19:40:00.000,201802,Clapham Junction LMD (London),"Person interacting with animal, object,  vehicle or another person","Staff 32929 01/05/2018 Driver sustained a cut to their finger whilst changing ends at Clapham Yard, 1 Sidings in a 10 car 458 set",Non-severe,0.001
SMIS309934,2018-05-01 22:15:00.000,201802,Neville Hill LMD East Midlands Trains,Slip trip or fall,STF over objects at Neville hill,Non-severe,0.001
SMIS238739,2018-05-02 01:25:00.000,201802,Bounds Green Depot,"Person interacting with animal, object,  vehicle or another person",PA - contractor on IP Scotland & North East worksite at Bounds Green suffered cut finger on sharp edge of a bracket. SCO 37194,Non-severe,0.001
SMIS238725,2018-05-02 01:30:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",Battersea Stewarts Lane Engineering Depot - 02/05/2018,Non-severe,0.001
SMIS3010014,2018-05-02 11:40:00.000,201802,Salisbury LMD,Slip trip or fall,Staff 24835 02/05/2018 MB2 slipped in the lifting bay at Salisbury TCD straining their back. 18 days were lost from duty.,Severe 7,0.01
SMIS309925,2018-05-02 22:37:00.000,201802,DRS Rugby,Slip trip or fall,Mobile Operative advises that he has twisted his left ankle after losing his footing whilst crossing a walkway in Rugby Yard.,Specified,0.125
SMIS19574,2018-05-03 01:03:00.000,201802,Stoke On Trent MDU,Other event resulting in injury or fatality,Fitter strained his left bicep whilst working teh Shot Blast Plant Room at Stoke Works.,Non-severe,0.001
SMIS238776,2018-05-03 06:00:00.000,201802,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Pain after operating points.,Non-severe,0.001
SMIS239469,2018-05-03 21:15:00.000,201802,Soho LMD (Birmingham),"Person interacting with animal, object,  vehicle or another person",Techincian cut his finger whilst fitting brake pads on 64015,Non-severe,0.001
SMIS02529,2018-05-04 00:00:00.000,201802,Doncaster Down Decoy,Awkward Body Movement,TM personal accident at Doncaster RR,Severe 7,0.01
SMIS309999,2018-05-04 00:05:00.000,201802,Welwyn Gdn City LMD,Slip trip or fall,Staff Acc - TL slipped when went to grab the railings on the side of the train Welwyn Garden City Sidings 04/05/2018,Non-severe,0.001
SMIS238850,2018-05-04 05:05:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",Battersea Stewarts Lane Engineers Depot - in depot on 10 road in side unit 455835 DTSB door - 04/05/18,Non-severe,0.001
SMIS19584,2018-05-04 06:00:00.000,201802,Shoeburyness CSD,Other event resulting in injury or fatality,Train Driver sustained puncture injury to right hand from a fragment of of sharp metal in the frame of an Mess Room chair,Non-severe,0.001
SMIS238840,2018-05-04 09:15:00.000,201802,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",Contractor 04/05/2018 Bournemouth TCD: Contractor sustained fractured finger when lifting under frame tank into position under a 442. Lost time from duty,Severe 7,0.01
SMIS3010032,2018-05-04 13:20:00.000,201802,Allerton LMD,Slip trip or fall,MOS tripped on dislodged GRP walkway,Non-severe,0.001
SMIS238863,2018-05-05 00:11:00.000,201802,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",Staff Acc - Whilst hoovering step back and bumped into the blue post past disabled toilet - train 700131 carriage 407131 - 05/05/18,Non-severe,0.001
SMIS3010410,2018-05-06 08:23:00.000,201802,Holyhead LMD,Slip trip or fall,"06052018 HHD 029 [MINOR]- Driver fell on ballast",Non-severe,0.001
SMIS239543,2018-05-07 01:00:00.000,201802,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person","07052018 MCN [MINOR]- Cleaner cut finger on blade",Non-severe,0.001
SMIS238792,2018-05-07 02:00:00.000,201802,Glasgow Central Salkeld St MDU,"Person interacting with animal, object,  vehicle or another person",PA Motherwell DU: MOS for OHL dept injured back muscles when lifting equipment at Salkeld street depot.,Non-severe,0.001
SMIS309987,2018-05-07 15:58:00.000,201802,Three Bridges Maintenance Depot,Slip trip or fall,"PA - Works Delivery Contractor Staff accident slipped when adjusting a rail and caused injury to left hand finger, at Crawley New Yard",Non-severe,0.001
SMIS238926,2018-05-08 09:30:00.000,201802,Bournemouth Middle Sidings,"Person interacting with animal, object,  vehicle or another person",Staff 08/05/2018 Production manager was struck by a panel at Bournemouth TCD,Non-severe,0.001
SMIS3010129,2018-05-08 10:35:00.000,201802,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,"Fitter fell down pit steps, Neville HIll",Non-severe,0.001
SMIS238879,2018-05-08 20:30:00.000,201802,Grove Park LMD (London),"Person interacting with animal, object,  vehicle or another person","Contractor cut his finger grinding floor with disc on 110 volt grinder, GROVE PARK DEPOT",Non-severe,0.001
SMIS3010076,2018-05-08 23:30:00.000,201802,Holyhead LMD,Slip trip or fall,Hohyhead depot; Report of driver tripping over a piece of ballast and falling while walking over a walking route in depot. Ambulance called.,Severe 7,0.01
SMIS238874,2018-05-09 17:10:00.000,201802,Crawley New Yard,"Person interacting with animal, object,  vehicle or another person",PA - Works Delivery Contractor got grit from his gloves in both eyes at Crawley New Yard.,Non-severe,0.001
SMIS3010219,2018-05-10 00:28:00.000,201802,Salisbury LMD,Slip trip or fall,Staff 24836 10/05/2018 MB1 STF in CET Shed at Salisbury Traincare Depot,Non-severe,0.001
SMIS19586,2018-05-10 08:30:00.000,201802,Wigan Nw MDU,Other event resulting in injury or fatality,Team Member has attended A&E this morning due to bloodshot and inflamed eye,Non-severe,0.001
SMIS4320799,2018-05-10 09:00:00.000,201802,Bounds Green LMD,Personal accident form,Band A fell in pit on Rd14 at Bounds Green,Non-severe,0.001
SMIS238932,2018-05-11 09:20:00.000,201802,Scunthorpe MDU,"Person interacting with animal, object,  vehicle or another person",PA - Technician stood on a nail whilst changing into his workboots at Scunthorpe,Non-severe,0.001
SMIS238970,2018-05-12 04:00:00.000,201802,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",A technician suffered a bruised left foot after a large hydrostatic hose fell on it.,Non-severe,0.001
SMIS238957,2018-05-12 23:45:00.000,201802,Cardiff Canton MDU,"Person interacting with animal, object,  vehicle or another person",PA. Cardiff DU PW staff caught a finger in a van door at Canton Depot,Non-severe,0.001
SMIS239110,2018-05-13 02:00:00.000,201802,Barton Mills LMD,"Person interacting with animal, object,  vehicle or another person",Staff 21687 13/05/2018 Cleaner pricked their finger with a needle whilst cleaning a universal toilet at Barton Mill Sidings,Non-severe,0.001
SMIS3010190,2018-05-14 10:00:00.000,201802,Tyseley LMD,Slip trip or fall,Technician fell off the pit wall at Tyseley depot,Non-severe,0.001
SMIS238984,2018-05-14 11:00:00.000,201802,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",PA - Contractor struck above right eye by the handle of a scraping pole at Tyne HOOB - SCO - 37378,Non-severe,0.001
SMIS21207,2018-05-14 11:00:00.000,201802,Stewarts Lane LMD (London),Person exposed to a hazardous substance,Service Engineer burned hand with lubricant spray- Battersea Stewarts Lane Eng Depot-14/05/2018,Non-severe,0.001
SMIS3010236,2018-05-15 05:30:00.000,201802,Barnham MDU,Slip trip or fall,"PA - Brighton DU staff slipped as he got up from an old sleeper, his arm rubbed on sleeper and got 20 splinters in his arm at Barnham Yard",Non-severe,0.001
SMIS02535,2018-05-15 06:55:00.000,201802,Hornsey LMD,Awkward Body Movement,Staff Acc - shooting pain in his lower back Hornsey Depot 15/05/2018,Non-severe,0.001
SMIS239040,2018-05-15 08:45:00.000,201802,Warrington Arpley MDU,"Person interacting with animal, object,  vehicle or another person","PA - Liverpool DU: Whilst moving equipment in depot yard at Warrington Bank-Quay, caught and cut hand on protruding object.",Non-severe,0.001
SMIS239119,2018-05-16 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",Colleague accident at Laira Depot,Non-severe,0.001
SMIS239071,2018-05-16 00:00:00.000,201802,Haymarket TMD,"Person interacting with animal, object,  vehicle or another person",Whilst putting pallets in a skip one of the pallets slipped causing a crush injury to the finger of maintenance team member. First aid administered by A3.3. Staff member attended Edinburgh Royal Infirmary.,Non-severe,0.001
SMIS19595,2018-05-16 07:05:00.000,201802,East Ham LMD (London),Other event resulting in injury or fatality,Bombardier Team Leader strained wrist whilst trying to catch a mug that fell out of his personal locker at East Ham depot,Non-severe,0.001
SMIS239066,2018-05-17 02:09:00.000,201802,Tonbridge MDU,"Person interacting with animal, object,  vehicle or another person","PA -DU Ashford a MOS staff knelt on ballast in Yard making up track bond, twisted and broke his knee at Tonbridge Dep SCO 37434",Specified,0.125
SMIS4320805,2018-05-17 04:40:00.000,201802,Craigentinny LMD (Edinburgh),Personal accident form,Band C walked into a glass door in the crew area of 11290 whilst it was at Craigentinny,Non-severe,0.001
SMIS239067,2018-05-17 05:39:00.000,201802,Dartford Station Approach MDU,"Person interacting with animal, object,  vehicle or another person",PA - member of London Bridge DU staff was hit in the face with an Ironman a frame at Dartford MDU and received a cut to the face by the eye.,Non-severe,0.001
SMIS3010294,2018-05-17 12:45:00.000,201802,Hornsey LMD,Slip trip or fall,Staff Acc - TMA slipped on a power box lost his footing and fell Hornsey Depot 17/05/2018,Non-severe,0.001
SMIS3010560,2018-05-18 04:30:00.000,201802,Heaton LMD,Slip trip or fall,Train Driver tripped on a signal wire loop at Heaton Depot,Severe 7,0.01
SMIS3010408,2018-05-18 10:30:00.000,201802,Wimbledon LMD (London),Slip trip or fall,Staff 40132 18/05/2018 Wimbledon TCD: MB3 fiter fell into a side pit on Wimbledon TCD and sustained a fractured wrist.,Specified,0.125
SMIS21213,2018-05-19 01:34:00.000,201802,Bournemouth West LMD,Person exposed to a hazardous substance,Contractor 41701 19/05/2018 Contactor exposed to chemical whilst undertaking duties at Bournemouth Traincare Depot,Non-severe,0.001
SMIS02540,2018-05-19 19:30:00.000,201802,Tyseley LMD,Awkward Body Movement,Technician suffered an ankle injury whilst bending down,Non-severe,0.001
SMIS19609,2018-05-20 00:00:00.000,201802,Reading (Cow Lane) MDU,Other event resulting in injury or fatality,Fitter at Reading Depot dropped an air/con unit which scraped the colleagues leg,Non-severe,0.001
SMIS239152,2018-05-20 04:50:00.000,201802,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",Staff 40129 20/05/2018 Cleaner caught their forehead on a corner of a wall when undertaking duties at Wimbledon Traincare Depot,Non-severe,0.001
SMIS239639,2018-05-20 08:30:00.000,201802,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person","20052018 CTN 027 [MINOR]- Employee injured while moving battery charger",Non-severe,0.001
SMIS3010295,2018-05-21 01:00:00.000,201802,Crown Point LMD (Norwich),Slip trip or fall,Employee at NCP STF on loose slab,Severe 7,0.01
SMIS19598,2018-05-21 11:00:00.000,201802,Crown Point LMD (Norwich),Other event resulting in injury or fatality,Yard Assistant at NCP found bruising on left hand,Non-severe,0.001
SMIS19666,2018-05-21 12:00:00.000,201802,Aylesbury LMD,Other event resulting in injury or fatality,"8156 - Staff member received an injurry when adjusting a tripcock valve on Vehicle 58850",Non-severe,0.001
SMIS3010386,2018-05-21 12:00:00.000,201802,Doncaster Csdc,Slip trip or fall,"Staff member  fall to the ground, twisting his right knee as he fell.",Non-severe,0.001
SMIS3010340,2018-05-21 12:31:00.000,201802,Northampton Station MDU,Slip trip or fall,PA - Works Delivery Staff Accident - Technician sprained their ankle due to tripping over a catchpit lid at Northampton Depot.,Non-severe,0.001
SMIS02543,2018-05-21 17:26:00.000,201802,Strawberry Hill LMD (London),Awkward Body Movement,Staff 21/05/2018 Guard of 5H56 injured their back when boarding the train at Strawberry Hill Depot,Non-severe,0.001
SMIS239191,2018-05-22 00:07:00.000,201802,Shields LMD (Glasgow),"Person interacting with animal, object,  vehicle or another person",Siemens contractor suffered electrical burn to his hand while carrying out battery terminal checks on unit 380112 - HOSPITAL,Non-severe,0.001
SMIS02600,2018-05-22 00:15:00.000,201802,Clapham Junction LMD (London),Awkward Body Movement,"Staff 42001 22/05/2018 Clapham TCD: A Wimbledon based driver repots that when stepping out of a set of ECS on number 11 road he felt his left leg ""pop"".",Non-severe,0.001
