"smis_reference","event_date","period","place","report_title","railway_operating_incident_type","description","owning_org","organisations_involved"
SMIS269247,2018-05-01 00:00:00.000,201802,Crown Point LMD (Norwich),Railway operating incident,Train rolled back or forwards,INVESTIGATION: Unauthorised Movement - NCP - 01/05/18,Greater Anglia,Greater Anglia
SMIS267998,2018-05-01 09:43:00.000,201802,Swindon Cocklebury Sidings,Railway operating incident,,OCC - Unauthorised movement of a stoneblower in Swindon Cocklebury Sidings [SCO37170] NSC,Network Rail,"Balfour Beatty Rail Ltd., Network Rail"
SMIS268030,2018-05-03 01:14:00.000,201802,Colchester LMD,Railway operating incident,Train rolled back or forwards,Unathorised train movement,Greater Anglia,Greater Anglia
SMIS268018,2018-05-03 09:40:00.000,201802,Bounds Green LMD,Railway operating incident,Object encroaching or fouling live electrical equipment,OHL Trip Out at Bounds Green due to an earthing strap attached to a live line,London North Eastern Railway,London North Eastern Railway
SMIS374734,2018-05-03 13:15:00.000,201802,Wimbledon LMD (London),"Train striking or struck by animal, object or road vehicle",Other train movement without authority: Staff failed to carry out pre-user checks before the unit was moved.,Collision on Depot 03/05/2018 Wimbledon TCD: Shutter roller doors struck during shunt on depot. Unit 458516.,South Western Railway,South Western Railway
SMIS268148,2018-05-04 03:43:00.000,201802,Swindon Cocklebury Sidings,Railway operating incident,,OCC - Ground staff advised that the Swindon Back Road/ Cocklebury Sidings points were clipped in the reverse position overnight (not first occurrence) after possession Item 91 (Uffington to Swindon East). ) [SCO37725] IP-GW&C,Network Rail,"Amey Rail, Network Rail"
SMIS268085,2018-05-09 00:02:00.000,201802,Peterborough; Peterborough Tcd,Railway operating incident,Other incorrect train dispatch,Pax overcarried on ECS Peterborough Nene CS 09/05/2018 NO INJURY,Govia Thameslink Railway,"DB Cargo (UK), London North Eastern Railway, Govia Thameslink Railway, Govia Thameslink Railway, Greater Anglia"
SMIS268156,2018-05-09 09:00:00.000,201802,Clapham Junction LMD (London),Railway operating incident,Other train movement without authority: Shunter failed to check route was clear,IR / Close Call 09/05/2018 Clapham TCD: Shunt move undertaken towards pit road with cleaner already in the pit unbeknown to the shunter.,South Western Railway,South Western Railway
SMIS268144,2018-05-10 05:34:00.000,201802,Soho LMD (Birmingham),Railway operating incident,Other train movement without authority: Train has come off the depot without being officially released,"5L00 - Soho LMD to Birmingham New St - Movement without Authority at  Soho",West Midlands Trains,West Midlands Trains
SMIS268166,2018-05-10 23:08:00.000,201802,Salisbury Train Care Depot,Railway operating incident,Other wrongly authorised train movement: Alleged train signalled in to depot without shunters permission,OCC - Eastleigh Ops - Salisbury depot shunter alleged 5L84 had been accepted on to the depot by the Salisbury signaller without permission,Network Rail,"Network Rail, South Western Railway"
SMIS268173,2018-05-11 09:25:00.000,201802,Gloucester Yard,Railway operating incident,,"OCC - Staff failed to move clear after first warning, Tramway Down Goods Loop at Gloucester",Network Rail,Network Rail
SMIS117829,2018-05-11 14:52:00.000,201802,Didcot Yard,Irregular signal aspect sequence,Wrong route set for train,COA - 0B00 (66207) had GPL 6416 replaced to danger in front of the train in Didcot Fuelling Point. Signaller error,Network Rail,"DB Cargo (UK), Network Rail"
SMIS268208,2018-05-14 06:06:00.000,201802,Alexandra Dock Jcn Sidings,Railway operating incident,Failed to follow safe system of work,"OCC. IP GW&C possession, 8124 points left in manual at Alexandra Dock Jcn. SCO 37369",Network Rail,"Amey Rail, Balfour Beatty Rail Ltd., Network Rail"
SMIS2633529,2018-05-15 14:35:00.000,201802,Bounds Green LMD,Railway operating incident,Entering worksite,Incorrect shunt move at Bounds Green,London North Eastern Railway,London North Eastern Railway
SMIS268332,2018-05-17 10:13:00.000,201802,Toton TMD,Railway operating incident,Train door incident,"6Z02 Bescot - Toton has arrived at Toton Yard and found to have the sliding canopy doors open on four BYA wagons, nos. 966085, 966245, 966233 and 966222.",DB Cargo (UK),"DB Cargo (UK), Other, CrossCountry"
SMIS268302,2018-05-18 17:39:00.000,201802,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,Wrong Route - 1G47 (1536 Paddington - Cheltenham Spa) wrongly routed via the avoider towards Cheltenham vice Gloucester at G237 signal. Not taken.,Network Rail,"Great Western Railway, Network Rail"
SMIS2610700,2018-05-21 13:40:00.000,201802,Tyne Yard,Railway operating incident,Wrong route set for train,"Wrong Route – 6U43 (11:15 Lockerbie - Tyne S.S) was wrong routed by signaller at T254 signal, Tyne Yard. Route taken.",Network Rail,"GB Railfreight, Network Rail"
SMIS268412,2018-05-24 22:11:00.000,201802,Polmadie Depot,Railway operating incident,Wrong route set for train,WRONG ROUTED: 5M01 2138 Polmadie - Carlisle routed at G800 signal and route taken at Polmadie.,Network Rail,"GB Railfreight, GB Railfreight, Network Rail, Network Rail"
SMIS268578,2018-05-30 09:28:00.000,201803,Cricklewood Terminal,Railway operating incident,Other: Wrong Routed Arrival,"5Y12 Wrong Routed Arrival Cricklewood Carriage Sidings 30/05/2018 NO INJURY",Govia Thameslink Railway,"GB Railfreight, Govia Thameslink Railway"
SMIS268857,2018-05-31 00:35:00.000,201803,Heaton LMD,Railway operating incident,Train speeding,Driver reported for travelling in excessive speed on depot.,Northern,"Network Rail, Northern"
SMIS2614378,2018-06-01 22:45:00.000,201803,Bounds Green LMD,Railway operating incident,,Driver on 5Y22 at Ferme Park moved the train without authority as the pipes were still attached,London North Eastern Railway,London North Eastern Railway
SMIS268627,2018-06-02 12:07:00.000,201803,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,Wrong Route - 1G21 (1015 Paddington - Cheltenham) was incorrectly routed at G237 signal towards Cheltenham vice Gloucester. Not taken.,Network Rail,"Great Western Railway, Network Rail"
SMIS268762,2018-06-05 15:42:00.000,201803,East Croydon MDU; West Croydon,Railway operating incident,Other incorrect train dispatch,"2K36 Pax overcarried - Arriva Rail error West Croydon 05/06/2018 NO INJURY",Govia Thameslink Railway,"Arriva Rail London, Arriva Rail London, Govia Thameslink Railway, Govia Thameslink Railway"
SMIS268799,2018-06-07 08:34:00.000,201803,East Ham LMD (London),Railway operating incident,Other: Failure to comply with Depot Operating Instruction,Empty Coaching Stock movement received authority to enter east Ham depot but did not then come to  a stand at the Stop Board for the horn to be sounded.,Trenitalia c2c,Trenitalia c2c
SMIS268860,2018-06-08 02:35:00.000,201803,Letchworth (LMD),Railway operating incident,Other: Wrong Route Given & TAKEN,Wrong Route Given & TAKEN - 700 sent down restricted road Letchworth Carriage Sidings,Govia Thameslink Railway,Govia Thameslink Railway
SMIS2615289,2018-06-09 14:32:00.000,201803,Hornsey EMU Depot,Railway operating incident,"Other plant, equipment or materials not removed",OCC – Earthing was left up by local team at Siemens Coronation Maintenance Facility.,Network Rail,"Network Rail, Siemens Mobility"
SMIS268820,2018-06-10 07:10:00.000,201803,Streatham Hill LMD (London),Railway operating incident,Wrong route set for train,Streatham Hill FSQ Depot - 5J06 - 455821 - 10/06/18 -NO INJURY,Govia Thameslink Railway,Govia Thameslink Railway
SMIS268778,2018-06-10 11:27:00.000,201803,North Pole Depot,Railway operating incident,Wrong route set for train,Wrong Route - 5A18 (1104 Paddington to Bristol TM) was routed back on to North Pole Depot after having come out of the depot. Not taken,Network Rail,"Great Western Railway, Network Rail"
SMIS269212,2018-06-12 01:26:00.000,201803,Aylesbury South siding UP,Railway operating incident,Wrong route set for train,"9561 - Aylesbury Controller accidently sent unit to incorrect siding causing an overhang",Chiltern Railways,Chiltern Railways
SMIS268839,2018-06-12 18:45:00.000,201803,Peterborough; Peterborough Tcd,Railway operating incident,Other incorrect train dispatch,"5P46 Pax overcarried Peterborough 12/06/2018 NO INJURY",Govia Thameslink Railway,"DB Cargo (UK), London North Eastern Railway, Govia Thameslink Railway, Govia Thameslink Railway, London North Eastern Railway"
SMIS268905,2018-06-13 09:30:00.000,201803,Crewe Wistaton Road MDU,Railway operating incident,Failed to follow safe system of work,OCC/LSR - JCB Excavator was operating under live OLE without adequate protection in place for the machine type at Crewe OCR depot,Network Rail,"Network Rail, Other, CrossCountry"
SMIS268883,2018-06-14 03:40:00.000,201803,Salisbury LMD,Railway operating incident,Other train movement without authority: Unit moved with fuel hose attached,Irregular Working 14/06/2018 Salisbury TCD: Unit 158886 was moved within the maintenance shed with the fuel line still attached.,South Western Railway,South Western Railway
SMIS29559,2018-06-15 05:33:00.000,201803,Norwich Crown Point Depot,Signal passed at danger,Other: points run through,CATEGORY A SPAD / PRT - 5P11 06:03 Norwich Crown Point - Norwich on CP1491 GPL & RT 2529 points at Norwich Crown Point Depot by 234 metres,Greater Anglia,"Greater Anglia, Network Rail"
SMIS268995,2018-06-15 06:30:00.000,201803,Orient Way,Railway operating incident,Other: Shunting Irregularity,Shunting Irregularity - Orient Way - Employee Error,Greater Anglia,Greater Anglia
SMIS269127,2018-06-15 09:30:00.000,201803,Neville Hill LMD (Ns) Northern Rail,Railway operating incident,Other: Irregular working,Damage to unit sustained during unsuccessful coupling procedure,Northern,Northern
SMIS269172,2018-06-18 17:50:00.000,201803,Barking,Railway operating incident,Train brakes not released,"(Intermodal 4L48, Daventry - Purfleet) Dragging Brakes discovered upon arrival at Barking",Direct Rail Services,"DB Cargo (UK), Direct Rail Services, Victa Railfreight"
SMIS269248,2018-06-19 00:00:00.000,201803,Crown Point LMD (Norwich),Railway operating incident,Train rolled back or forwards,Unauthorised Train Movement - NCP - 19/06/18,Greater Anglia,Greater Anglia
SMIS269100,2018-06-20 00:00:00.000,201803,Shrub Hill LMD (Worcester),Railway operating incident,Train rolled back or forwards,Operating Irregularity at Worcester (Hereford Sidings),Great Western Railway,"Great Western Railway, Network Rail"
SMIS269043,2018-06-21 08:41:00.000,201803,Holbeck Jcn & Depot (Leeds),Railway operating incident,Wrong route set for train,Wrong route - 5A63 (08:33 Leeds - Bradford Interchange) was offered the incorrect route at L3606. Not taken,Network Rail,"Grand Central, Network Rail"
SMIS269079,2018-06-22 00:00:00.000,201803,Cambridge; Cambridge Adj Mill Rd MDU,Railway operating incident,Other incorrect train dispatch,Pax overcarried,Govia Thameslink Railway,"Govia Thameslink Railway, Govia Thameslink Railway, Greater Anglia, Greater Anglia"
SMIS269092,2018-06-22 00:40:00.000,201803,Bournemouth West LMD,Railway operating incident,Other: Unit shunted into isolation on depot,Operational Incident 22/06/2018 Bournemouth TCD: A unit was routed into a road on which an electrical isolation had been taken.,South Western Railway,South Western Railway
SMIS269104,2018-06-23 00:00:00.000,201803,Etches Park LMD (Derby),Railway operating incident,Other: Maintenance Without NTBMB,Irregular Working at Etches Park,East Midlands Railway,"Bombardier Transportation Services, East Midlands Railway, East Midlands Railway"
SMIS269179,2018-06-28 23:21:00.000,201804,,Railway operating incident,,"OCC - 6Z03 2323 Swindon Cocklebury Rail grinder found a single detonator on the railhead, Swindon Cocklebury Sidings",Network Rail,Network Rail
SMIS269313,2018-07-02 12:15:00.000,201804,Crewe Gresty,Railway operating incident,,OCC: MoS entered Crewe HOOB by lifting the barriers to gain access to the HOOB but shunting was taking place,Network Rail,"DB Cargo (UK), Network Rail"
SMIS269270,2018-07-03 17:07:00.000,201804,Polmadie LMD (Glasgow),Railway operating incident,Train door incident,Doors found open on CAF MK 5 coaches on arrival at Polmadie,GB Railfreight,"GB Railfreight, Avanti West Coast"
SMIS269496,2018-07-04 00:42:00.000,201804,Manchester Longsight MDU,Railway operating incident,Other train movement without authority: EMU on unwired road,Driver working 5H55 23:19 Macclesfield - Longsight advised that the set was on 26 road which is unwired leading vehicle was beyond the OHLE.,Northern,"Network Rail, Northern"
SMIS269287,2018-07-04 09:30:00.000,201804,Oxford Down Carriage Sidings,Railway operating incident,,OCC - Ganymede MOS working without a COSS Oxford Down Passenger Loop [SCO38206] IP-GW&C,Network Rail,"Ganymede Solutions Ltd, Network Rail"
SMIS269315,2018-07-05 16:39:00.000,201804,Herne Hill MDU; London Blackfriars,Railway operating incident,Other incorrect train dispatch,"5V56 Pax overcarried Blackfriars 05/07/2018",Govia Thameslink Railway,Govia Thameslink Railway
SMIS269699,2018-07-06 12:24:00.000,201804,Cardiff Canton LMD,Railway operating incident,Other: Operating incident at depot,"175115/operating incident on Canton depot",Transport for Wales Rail,Transport for Wales Rail
SMIS269587,2018-07-09 17:02:00.000,201804,"Bescot Tcd, Dn & Up Yards",Railway operating incident,Other wrongly authorised train movement,"OCC -  SPAD alarm for SB9662 signal at Bescot North End, 8T92 1900 Bescot Up Brook Sidings Up Yard to Bescot Down Sidings hauling a rake of vehicles had been shunted from the SB9657 signal towards SB6663 signal and there was a minor roll back activating the SPAD alarm.",DB Cargo (UK),"DB Cargo (UK), Network Rail"
SMIS269370,2018-07-09 23:15:00.000,201804,Central Rivers Depot (Barton under Needwood),Railway operating incident,Other: Passenger on ECS,"PASSENGER ON ECS - 2 passengers arrived at Central Rivers depot on board 5D92 23:58 Birmingham New Street - Central Rivers ECS, formed of 220007.",CrossCountry,"CrossCountry, Network Rail"
SMIS269491,2018-07-10 13:15:00.000,201804,Neville Hill LMD (Ns) Northern Rail,Railway operating incident,,Level 5 fitter reports when he was applying earths to level 3 shed at Neville Hill he accidently fell and tripped the supply.,Northern,"Network Rail, Northern"
SMIS269470,2018-07-13 20:26:00.000,201804,Craigentinny LMD (Edinburgh),Railway operating incident,Train division,"5X09 from Hitachi Merchant road Sidings to Craigentinny the service came divided within the Hitachi sidings between the locomotive 67028 and the unit 385006 at 3 MPH after travelling two coach lengths.",DB Cargo (UK),"DB Cargo (UK), London North Eastern Railway, Network Rail"
SMIS269444,2018-07-14 00:08:00.000,201804,Bristol East Depot,Railway operating incident,Wrong route set for train,Wrong route -  1V71 (17:07 Edinburgh to Bristol Temple Meads) routed from BL2085 on the up Filton main line towards platform 5 vice platform 3. Not taken,Network Rail,"CrossCountry, Network Rail"
SMIS269435,2018-07-14 19:36:00.000,201804,Norwich Crown Point Depot,Railway operating incident,,OCC - 5P46 19:08 Norwich - Norwich Crown Point depot stopped short of an engineer’s trolley within the depot at Norwich Crown Point.,Network Rail,"Network Rail, Other, CrossCountry"
SMIS269453,2018-07-15 08:14:00.000,201804,Oxford Down Carriage Sidings,Railway operating incident,,"OCC -  Renown MOS crossed 4 lines (during blockade) without PPE Down/Up Carriage Sidings - Oxford (64m,63ch) [SCO38401] IP-GW&C",Network Rail,"Network Rail, Other, CrossCountry"
SMIS269558,2018-07-18 00:00:00.000,201804,Crown Point LMD (Norwich),Railway operating incident,Other train movement without authority,Operational Incident at Norwich Crown Point,East Midlands Railway,"Greater Anglia, East Midlands Railway"
SMIS269639,2018-07-19 00:00:00.000,201804,Reading (Cow Lane) MDU,Railway operating incident,Train rolled back or forwards,Operating Incident on Reading TCD,Great Western Railway,Great Western Railway
SMIS2610032,2018-07-21 23:54:00.000,201804,Hornsey LMD; London Kings Cross,Railway operating incident,Other incorrect train dispatch,Pax Overcarried Kings Cross 21/07/2018 NO INJURY,Govia Thameslink Railway,"Govia Thameslink Railway, Govia Thameslink Railway, Network Rail, Network Rail"
SMIS2610715,2018-07-23 12:00:00.000,201805,Crewe Gresty,Railway operating incident,,OCC/NRV: Chipper for vegetation clearance tracked over rotten sleepers and fell into a culvert which had not been identified in Crewe South Yard,Network Rail,"DB Cargo (UK), Network Rail, Other, CrossCountry"
SMIS269733,2018-07-24 07:42:00.000,201805,Strawberry Hill LMD (London),Railway operating incident,Other isolation error: Incorrect instructions in the procedure,Close Call 24/07/2018 Strawberry Hill TCD: inaccuracy in isolation planning Table of Isolations FP/JP/007/ ST Issue 30 April 2018,South Western Railway,South Western Railway
SMIS269706,2018-07-25 08:15:00.000,201805,Woolwich Dockyard,Railway operating incident,Train called at station when not planned,"2A16 called out of course at Woolwich Dockyard SG1516",Southeastern,Southeastern
SMIS269772,2018-07-25 21:45:00.000,201805,Farnham LMD,Railway operating incident,Other: Train routed into wrong road in depot,Close Call 25/07/2018 Farnham Traincare Depot: points set for 17 vice 15 road; depot driver noticed the error and stopped.,South Western Railway,South Western Railway
SMIS269732,2018-07-26 14:41:00.000,201805,Crewe Coal Yard SB,Railway operating incident,Wrong route set for train,Wrong route: DBC 6K74 1409 Warrington Arpley to Crewe at CY18 signal Crewe Coal Yard.  Route not taken,Network Rail,"DB Cargo (UK), Network Rail"
SMIS269827,2018-07-29 22:00:00.000,201805,Heaton LMD,Railway operating incident,Train speeding,"5W49 22:00 Newcastle - Heaton was reported for an alledged speeding incident on depot.",Northern,"Network Rail, Northern"
SMIS269875,2018-08-02 03:14:00.000,201805,Kirkdale TCS (LMD) (Liverpool),Railway operating incident,Other: Train  ran over a stop board left in place in  error,Kirkdale Depot - During empty stock move on no.25 road a train ran over a stop board which had been left in place in error.,Merseyrail,Merseyrail
SMIS269985,2018-08-03 00:50:00.000,201805,New Cross Gate Siding,Railway operating incident,,Unauthorised Movement,Arriva Rail London,Arriva Rail London
SMIS2610237,2018-08-05 03:20:00.000,201805,Oxford Down Carriage Sidings,Railway operating incident,Train authorised to proceed with points incorrectly set,Damage - 9150 points run through Oxford Down Carriage Sidings  [SCO38660] IP-GW&C,Network Rail,"Amey Rail, Network Rail, Other, CrossCountry"
SMIS2610005,2018-08-07 20:56:00.000,201805,Cardiff Canton LMD,Railway operating incident,Entering worksite,"5B64/175003/Overcarried onto Canton Depot",Transport for Wales Rail,"Network Rail, Transport for Wales Rail"
SMIS269995,2018-08-08 17:36:00.000,201805,Crawley New Yard,Railway operating incident,Other: Hand points nearly switching position under this train,OCC - Handpoints almost moved under 6Y50 at Crawley New Yard.,Network Rail,"DB Cargo (UK), Network Rail"
SMIS2610070,2018-08-10 21:35:00.000,201805,Cardiff Canton Depot (Pass),Railway operating incident,Train authorised to proceed with points incorrectly set,OCC - 5R32 2135 Canton - Cardiff ran wrong line out of Canton Depot,Network Rail,"Network Rail, Transport for Wales Rail"
SMIS2610116,2018-08-10 22:21:00.000,201805,Cardiff Canton LMD,Railway operating incident,Exiting worksite,"5r32/143614/142083/ had an unathourised movement on depot",Transport for Wales Rail,"Network Rail, Transport for Wales Rail"
SMIS2610119,2018-08-11 00:00:00.000,201805,Bristol St Philips Marsh LMD,Railway operating incident,Train rolled back or forwards,"158956 off the road at SPM",Great Western Railway,Great Western Railway
SMIS2610172,2018-08-14 00:00:00.000,201805,Acton Yard,Railway operating incident,Train door incident,Wagons arrived 6V65 at Acton Yard and have been discharged to depart 6M38 to Wembley.,DB Cargo (UK),DB Cargo (UK)
SMIS2610403,2018-08-19 02:50:00.000,201806,North Pole Depot,Railway operating incident,Failed to warn,"OCC - IP Southern, during property works at Miter bridge, 2x trains approached the area from the depot Contractor had not been notified. SCO38883",Network Rail,"BAM Nuttall Ltd., Network Rail"
SMIS2610288,2018-08-21 12:23:00.000,201806,Corkerhill CSMD,Railway operating incident,Train runaway,Unit 156436 involved in serious operating incident at Corkerhill Depot.,ScotRail,ScotRail
SMIS2610275,2018-08-22 00:51:00.000,201806,Tidal Sidings (Cardiff),Railway operating incident,Failed to transport correctly,"6E31 17:58 running with 18 TOPS list only showed 12",GB Railfreight,"GB Railfreight, Network Rail"
SMIS2610299,2018-08-22 17:15:00.000,201806,Hither Green,Railway operating incident,Train runaway,Runaway  reported at Angerstein.,DB Cargo (UK),DB Cargo (UK)
SMIS2610523,2018-08-24 02:45:00.000,201806,Farnham LMD,Railway operating incident,Other: Near miss with another train in the depot,Close Call 24/08/2018 Farnham Depot: the driver of 5N73 0017 Farnham Station - Farnham TCD had a near miss with another unit on 6 road.,South Western Railway,South Western Railway
SMIS2612145,2018-08-24 04:00:00.000,201806,Salisbury LMD,Railway operating incident,Other train movement without authority: Unit moved with a NTMB attached,NTMB 24/08/2018 Salisbury TCD: Unit was moved with NTMB and hoover lead attached.,South Western Railway,South Western Railway
SMIS2633509,2018-08-26 11:14:00.000,201806,Craigentinny LMD (Edinburgh),Railway operating incident,Train door incident,"1E95 arrived in Edinburgh off Craigentinny with the offside power car door unsecured.",London North Eastern Railway,London North Eastern Railway
SMIS2610380,2018-08-27 23:50:00.000,201806,Central Rivers Depot (Barton under Needwood),Railway operating incident,Other: Passenger on ECS,PASSENGER ON ECS - Passenger arrived on Central Rivers depot on board 221132 working 5D78 23:00 Birmingham New Street - Central Rivers. SCU not carried out by Derby Driver due to changes to ECS moves caused by long formed diagrams.,CrossCountry,"CrossCountry, Network Rail"
SMIS2610399,2018-08-28 04:22:00.000,201806,Tees Yard,Railway operating incident,Train door incident,Loading irregularity - Grangemouth Terminal Operative  reports container number UBBU2226321 has arrived on 4N30 14:09 Mossend - Grangemouth with an open / damaged end door.,DB Cargo (UK),"DB Cargo (UK), Network Rail"
SMIS2610996,2018-09-02 00:00:00.000,201806,Wimbledon LMD (London),Railway operating incident,Train speeding,Over Permitted Line speed 02/09/2018 Wimbledon: 5mph line speed exceed by 3mph during shunt move on  depot.,South Western Railway,South Western Railway
SMIS2611204,2018-09-03 15:06:00.000,201806,Shrub Hill LMD (Worcester),Railway operating incident,Other: Heavy Shunt,"2018/08/31 : Collision: Worcester Light Maintenance Depot",West Midlands Trains,West Midlands Trains
SMIS2610528,2018-09-04 23:00:00.000,201806,Gatwick Sidings,Railway operating incident,Wrong route set for train,Wrong route: 5R57 (22:12 Gatwick Airport to Gatwick CHS) wrongly routed into Road 1 onto a 4 Car 377 at Gatwick Airport Sidings,Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS2611527,2018-09-04 23:21:00.000,201806,Cardiff Canton Depot (DB Schenker),Railway operating incident,Other: Train Clearance not met with Method of work,Over carry on ECS Canton Depot,Transport for Wales Rail,Transport for Wales Rail
SMIS2610576,2018-09-05 22:26:00.000,201806,Didcot Yard,Railway operating incident,Uneven load distribution in container,Five wagons are badly loaded with aggregate being above the raves,DB Cargo (UK),DB Cargo (UK)
SMIS2610652,2018-09-11 02:15:00.000,201806,Crewe Coal Yard SB,Railway operating incident,Wrong route set for train,"Wrong route: 6L35 17:39 Mossend to Dagenham at CY18 signal, Crewe, due to train wrongly described.",Network Rail,"DB Cargo (UK), Network Rail"
SMIS2610649,2018-09-11 05:35:00.000,201806,Holbeck Jcn & Depot (Leeds),Railway operating incident,Wrong route set for train,Wrong route - 5A00 (0535 Holbeck - Knottingley) was given wrong route atL3856 signal Holbeck. Did not take,Network Rail,"Network Rail, Northern"
SMIS2610676,2018-09-11 22:50:00.000,201806,Swindon Cocklebury Sidings,Railway operating incident,,"OCC - Member of staff reported a track tripod left fouling the open line at Swindon, Cocklebury Sidings. (SCO 39146)",Network Rail,"Carillion Rail, Network Rail, Network Rail, Other, CrossCountry"
SMIS2610659,2018-09-12 02:23:00.000,201806,Willesden Depot,Railway operating incident,Train brakes not released,"6X41 delayed due to reports of sparks",GB Railfreight,"GB Railfreight, Network Rail"
SMIS2610983,2018-09-13 00:00:00.000,201806,Neville Hill LMD (Ns) Northern Rail,Railway operating incident,Other,"Points run through during shunt move, Neville Hill.",Northern,Northern
