"smis_reference","event_date","period","place","report_title","sub_event","injury_degree_2013","fwi_2013"
SMIS309868,2018-04-18 22:20:00.000,201801,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",person interaction; slip trip or fall,Non-severe,0.001
SMIS309700,2018-04-22 10:50:00.000,201801,Hove Goods Yard,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309783,2018-04-26 16:30:00.000,201801,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010099,2018-04-28 09:30:00.000,201801,Bounds Green LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010277,2018-04-28 22:50:00.000,201801,Carmarthen MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309850,2018-04-29 00:00:00.000,201802,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010013,2018-04-29 20:55:00.000,201802,Wembley C Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309865,2018-04-30 15:34:00.000,201802,Grove Park LMD (London),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS309900,2018-05-01 08:25:00.000,201802,"Westbury Tcd, Dn & Up Sidings & Wmo",Slip trip or fall,slip trip or fall,None,0
SMIS309934,2018-05-01 22:15:00.000,201802,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010014,2018-05-02 11:40:00.000,201802,Salisbury LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS309925,2018-05-02 22:37:00.000,201802,DRS Rugby,Slip trip or fall,slip trip or fall,Specified,0.125
SMIS309999,2018-05-04 00:05:00.000,201802,Welwyn Gdn City LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010032,2018-05-04 13:20:00.000,201802,Allerton LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010410,2018-05-06 08:23:00.000,201802,Holyhead LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309987,2018-05-07 15:58:00.000,201802,Three Bridges Maintenance Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010129,2018-05-08 10:35:00.000,201802,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010076,2018-05-08 23:30:00.000,201802,Holyhead LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010219,2018-05-10 00:28:00.000,201802,Salisbury LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS4320799,2018-05-10 09:00:00.000,201802,Bounds Green LMD,Personal accident form,slip trip or fall,Non-severe,0.001
SMIS3010190,2018-05-14 10:00:00.000,201802,Tyseley LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010236,2018-05-15 05:30:00.000,201802,Barnham MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010258,2018-05-16 18:30:00.000,201802,Immingham,Slip trip or fall,slip trip or fall,None,0
SMIS3010281,2018-05-17 10:00:00.000,201802,Hawksworth Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010294,2018-05-17 12:45:00.000,201802,Hornsey LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010560,2018-05-18 04:30:00.000,201802,Heaton LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010408,2018-05-18 10:30:00.000,201802,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Specified,0.125
SMIS3010295,2018-05-21 01:00:00.000,201802,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010386,2018-05-21 12:00:00.000,201802,Doncaster Csdc,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010340,2018-05-21 12:31:00.000,201802,Northampton Station MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010549,2018-05-23 12:05:00.000,201802,East Ham LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010433,2018-05-24 00:25:00.000,201802,Welwyn Gdn City LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3025306,2018-05-24 07:35:00.000,201802,Bounds Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3020203,2018-05-30 13:40:00.000,201803,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010575,2018-05-30 15:45:00.000,201803,Fratton Tcd (LMD),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010565,2018-05-30 22:30:00.000,201803,Haymarket LMD (Edinburgh),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010582,2018-05-31 15:00:00.000,201803,Salisbury LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010686,2018-06-02 12:50:00.000,201803,Allerton LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010662,2018-06-03 00:20:00.000,201803,Westerfield Network Rail yard,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012387,2018-06-05 01:30:00.000,201803,Bournemouth West LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010669,2018-06-05 12:30:00.000,201803,Brighton Ced Swimu MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010751,2018-06-05 12:30:00.000,201803,Brighton MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010697,2018-06-05 23:50:00.000,201803,Doncaster Csdc,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011080,2018-06-07 09:00:00.000,201803,Birkenhead North LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010808,2018-06-07 10:30:00.000,201803,Slade Green LMD,Slip trip or fall,slip trip or fall,Specified,0.125
SMIS3010959,2018-06-08 08:00:00.000,201803,West Ealing S&T depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010783,2018-06-09 06:14:00.000,201803,Shoeburyness CSD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011551,2018-06-11 09:00:00.000,201803,Cricklewood Terminal,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3010863,2018-06-12 00:45:00.000,201803,Ebbw Jct MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010832,2018-06-12 14:41:00.000,201803,Slade Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010970,2018-06-15 12:15:00.000,201803,West Ealing Depot Yard,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010990,2018-06-16 07:25:00.000,201803,Newton Heath LMD (Manchester),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011006,2018-06-16 20:51:00.000,201803,Crewe Gresty,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011550,2018-06-17 10:00:00.000,201803,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011015,2018-06-18 22:30:00.000,201803,Tuebrook depot car park,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3025607,2018-06-18 23:45:00.000,201803,Clayhills LMD (Aberdeen),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011023,2018-06-19 21:00:00.000,201803,Cambridge Cavendish Rd LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011035,2018-06-20 10:00:00.000,201803,Stourbridge Junction Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011076,2018-06-21 15:00:00.000,201803,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011087,2018-06-21 17:14:00.000,201803,Hornsey MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011133,2018-06-24 03:00:00.000,201804,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS239944,2018-06-26 23:31:00.000,201804,Ipswich MDU,"Person interacting with animal, object,  vehicle or another person",slip trip or fall; person interaction,Non-severe,0.001
SMIS3011304,2018-06-27 14:10:00.000,201804,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011421,2018-06-30 22:00:00.000,201804,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011317,2018-07-02 14:43:00.000,201804,Brickyard Farm FPS,Slip trip or fall,slip trip or fall; person interaction,Non-severe,0.001
SMIS3011464,2018-07-02 19:35:00.000,201804,Southampton Up Goods Loop,Slip trip or fall,slip trip or fall,Specified,0.125
SMIS3011384,2018-07-03 04:15:00.000,201804,Fratton Tcd (LMD),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011611,2018-07-03 17:35:00.000,201804,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011651,2018-07-04 04:30:00.000,201804,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011446,2018-07-04 23:04:00.000,201804,Immingham,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011442,2018-07-05 07:45:00.000,201804,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3016928,2018-07-07 22:45:00.000,201804,Worcester Depot,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012450,2018-07-08 03:30:00.000,201804,Canton Buildings MDU,Slip trip or fall,slip trip or fall,None,0
SMIS3011568,2018-07-09 00:00:00.000,201804,Bristol St Philips Marsh LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011728,2018-07-15 23:05:00.000,201804,Bounds Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011721,2018-07-17 09:40:00.000,201804,Ramsgate Train Maintenance Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011764,2018-07-17 12:00:00.000,201804,Sunniside Traincrew Depot,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3011771,2018-07-18 09:20:00.000,201804,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011849,2018-07-19 09:30:00.000,201804,Wolverhampton,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3011864,2018-07-20 09:40:00.000,201804,Polmadie LMD (Glasgow),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011876,2018-07-20 13:40:00.000,201804,Shields LMD (Glasgow),Slip trip or fall,slip trip or fall,Specified,0.125
SMIS3011997,2018-07-23 13:30:00.000,201805,Bournemouth West LMD,Slip trip or fall,slip trip or fall,None,0
SMIS3011928,2018-07-24 08:15:00.000,201805,Tottenham Hale MDU,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3011950,2018-07-24 14:30:00.000,201805,Corkerhill CSMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012209,2018-07-24 23:45:00.000,201805,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012057,2018-07-25 00:00:00.000,201805,Ipswich Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011967,2018-07-25 12:30:00.000,201805,Saltley Tcd & Emr,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3011969,2018-07-25 18:10:00.000,201805,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012069,2018-07-26 07:50:00.000,201805,Portsmouth & Southsea Down Carriage Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012024,2018-07-26 22:40:00.000,201805,Letchworth (LMD),Slip trip or fall,slip trip or fall,None,0
SMIS3012299,2018-07-29 11:59:00.000,201805,Toton TMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012225,2018-07-30 00:00:00.000,201805,DRS Carlisle - Kingmoor,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012159,2018-07-30 23:30:00.000,201805,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012191,2018-08-01 08:35:00.000,201805,Carnforth - Warton Road MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012323,2018-08-03 01:00:00.000,201805,Clapham Junction LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012285,2018-08-05 00:30:00.000,201805,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012292,2018-08-06 12:28:00.000,201805,Crewe Gresty Road MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012427,2018-08-10 10:45:00.000,201805,Birkenhead North LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012525,2018-08-12 23:10:00.000,201805,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012799,2018-08-14 15:45:00.000,201805,East Ham LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012663,2018-08-15 05:40:00.000,201805,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012644,2018-08-17 05:05:00.000,201805,Tyseley LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012813,2018-08-18 02:00:00.000,201805,Allerton LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012960,2018-08-20 01:30:00.000,201806,Newton Heath LMD (Manchester),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012646,2018-08-20 10:15:00.000,201806,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012959,2018-08-20 22:30:00.000,201806,Freightliner Leeds,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012680,2018-08-21 05:55:00.000,201806,Yoker Depot,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012700,2018-08-22 19:00:00.000,201806,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012717,2018-08-23 02:15:00.000,201806,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012754,2018-08-25 07:30:00.000,201806,Ashford depot (carriage sidings),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012860,2018-08-27 00:00:00.000,201806,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012793,2018-08-28 06:40:00.000,201806,Guildford Yard,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3012798,2018-08-28 17:30:00.000,201806,Immingham,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012981,2018-08-31 21:00:00.000,201806,Tyseley LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3012890,2018-09-02 15:06:00.000,201806,Hove Goods Yard,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013256,2018-09-11 11:30:00.000,201806,Bournemouth West LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013167,2018-09-11 12:30:00.000,201806,Shoeburyness CSD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013174,2018-09-13 13:30:00.000,201806,Swindon MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013214,2018-09-16 09:30:00.000,201807,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013324,2018-09-17 07:30:00.000,201807,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013228,2018-09-17 07:30:00.000,201807,Stoke On Trent MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013323,2018-09-17 12:10:00.000,201807,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013392,2018-09-18 20:29:00.000,201807,Heaton LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3013427,2018-09-25 00:00:00.000,201807,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013515,2018-09-26 00:05:00.000,201807,Machynlleth LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013434,2018-09-26 22:45:00.000,201807,Hitchin Down Yard OTM/Plant Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS4320870,2018-09-27 03:15:00.000,201807,Bounds Green LMD,Personal accident form,slip trip or fall,Non-severe,0.001
SMIS3013518,2018-09-27 05:15:00.000,201807,Corkerhill LMD (Glasgow),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3017357,2018-09-27 05:50:00.000,201807,Strawberry Hill LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013544,2018-09-28 02:25:00.000,201807,Farnham LMD,Slip trip or fall,slip trip or fall,None,0
SMIS3013539,2018-09-30 21:35:00.000,201807,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013528,2018-10-01 00:00:00.000,201807,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013638,2018-10-01 17:40:00.000,201807,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013513,2018-10-01 22:10:00.000,201807,Willesden MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013541,2018-10-02 04:20:00.000,201807,Inverness LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013719,2018-10-04 05:50:00.000,201807,Littlehampton LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013673,2018-10-04 20:00:00.000,201807,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013631,2018-10-05 09:30:00.000,201807,Seven Kings Depot,Slip trip or fall,slip trip or fall,None,0
SMIS3013600,2018-10-05 20:15:00.000,201807,Plumstead Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013603,2018-10-07 10:46:00.000,201807,Plumstead Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013717,2018-10-08 03:15:00.000,201807,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013634,2018-10-08 09:20:00.000,201807,Freightliner Felixstowe,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013689,2018-10-09 17:18:00.000,201807,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013703,2018-10-10 17:30:00.000,201807,Peterborough Bldg & Stores MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013916,2018-10-11 07:59:00.000,201807,Silwood Sidings,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013762,2018-10-11 11:00:00.000,201807,Grove Park Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013807,2018-10-12 05:35:00.000,201807,Kirkdale TCS (LMD) (Liverpool),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013815,2018-10-15 15:00:00.000,201808,Slade Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013877,2018-10-17 00:05:00.000,201808,Romford MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013839,2018-10-17 15:00:00.000,201808,Slade Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013827,2018-10-17 21:59:00.000,201808,Colchester LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3013930,2018-10-23 23:01:00.000,201808,Acton,Slip trip or fall,slip trip or fall; railway operating incident,Non-severe,0.001
SMIS3013939,2018-10-24 01:00:00.000,201808,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013923,2018-10-24 03:25:00.000,201808,Colchester LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3013977,2018-10-25 00:00:00.000,201808,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014589,2018-10-26 00:00:00.000,201808,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014661,2018-10-26 23:30:00.000,201808,Crewe diesel depot,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014281,2018-10-28 22:00:00.000,201808,Blackburn Bridge St MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014073,2018-10-29 10:00:00.000,201808,Eastleigh,Slip trip or fall,slip trip or fall; life saving rule breach,Non-severe,0.001
SMIS3014139,2018-10-29 22:35:00.000,201808,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014131,2018-10-29 23:05:00.000,201808,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014111,2018-10-31 00:00:00.000,201808,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014261,2018-11-05 10:45:00.000,201808,Grove Park Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014295,2018-11-06 00:00:00.000,201808,Penzance (Long Rock) LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014298,2018-11-06 03:10:00.000,201808,Stewarts Lane LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014310,2018-11-06 17:45:00.000,201808,Slade Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014287,2018-11-06 23:30:00.000,201808,Cambridge Adj Mill Rd MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014322,2018-11-07 02:30:00.000,201808,Farnham LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014329,2018-11-07 08:20:00.000,201808,Eurostar Engineering Centre Temple Mills,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014317,2018-11-07 08:30:00.000,201808,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014350,2018-11-08 00:15:00.000,201808,Ramsgate Train Maintenance Depot,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014482,2018-11-09 05:55:00.000,201808,Cambridge Adj Mill Rd MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014394,2018-11-09 10:15:00.000,201808,Toton TMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014368,2018-11-10 07:57:00.000,201808,Plymouth (Laira) Diesel LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014880,2018-11-11 21:30:00.000,201809,Kirkdale TCS (LMD) (Liverpool),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014473,2018-11-13 02:35:00.000,201809,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014476,2018-11-14 08:15:00.000,201809,Shenfield Main MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014883,2018-11-15 01:35:00.000,201809,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014540,2018-11-16 13:28:00.000,201809,Colchester Ex Seimu MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014597,2018-11-19 14:15:00.000,201809,Ramsgate MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014622,2018-11-20 19:45:00.000,201809,Three Bridges Maintenance Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014870,2018-11-21 03:00:00.000,201809,Farnham LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3015018,2018-11-22 01:15:00.000,201809,Slade Green LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3015001,2018-11-22 09:00:00.000,201809,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014748,2018-11-23 11:20:00.000,201809,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014774,2018-11-24 19:50:00.000,201809,Slade Green LMD,Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS3014813,2018-11-26 10:15:00.000,201809,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014811,2018-11-26 21:00:00.000,201809,Peak Forest Tdc,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014994,2018-11-27 23:20:00.000,201809,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3015157,2018-11-28 07:15:00.000,201809,Derby MDU,Slip trip or fall,slip trip or fall,Specified,0.125
SMIS3014982,2018-11-28 22:20:00.000,201809,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,None,0
SMIS3014900,2018-11-29 11:15:00.000,201809,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3014908,2018-11-29 21:05:00.000,201809,Crewe Gresty,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3015004,2018-12-04 09:48:00.000,201809,Carstairs Site MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
