"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS309271,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/3fc611d3-2862-4b92-9616-aca99b0a26f5#!/report,2018-04-08 06:35:00.000,201801,Springbank South Jcn.,slip trip or fall,PA-DU York Technician slipped on steps at Springbank West and fell and chipped bone right ankle.,"At 06:35 a DU York Technician was walking down the authorised steps at Springbank West, then they slipped and jarred their right ankle. The injured party (IP) was then unable to put any weight on their ankle.  First aid treatment was administered and the IP was taken to Hull Royal Infirmary, where an xray was taken and there was the possibility of a chip to the bone. The IP had booked rest days on 09/04/18 and 10/04/18 and would then advise of their fitness for work. Immediate cause: Loose gravel  surface on the access steps  Underlying cause: Substandard condition of access steps Remedial actions: Off track have now been to remove any large pieces of gravel and levelled the surface  No further investigation required",Stepped,Gravel,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.125,Workforce (on-duty): Specified
SMIS309283,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/a206d4e8-9014-483d-8fe1-675965e85c3e#!/report,2018-04-08 16:00:00.000,201801,Hendon (Mid ML),slip trip or fall,"PA - STF - Cricklewood based PWay Technician fell through a manhole cover at Cricklewood Old Yard, Hendon suffering a bruised back. EM034","At 1600 the Injured Person (IP), a Cricklewood based PWay Technician, had just picked up protection at Cricklewood Old Yard and was walking towards the access point when they fell through a man-hole that was covered but just gave way. He was taken to hospital by the Team Leader. 1hr Updated Care Plan - the IP was released from hospital with bruising of back muscle, anti-inflammatory medication provided. He was at home and will call his line manager first thing the next morning. 	 Further update - IP would not be attending work for night shift the next day. Update from Level 1 Investigation: Whilst egressing track after picking up protection for possession, the IP stood on a manhole cover which was covered over. The lid give way causing IP's left leg to go down the manhole and as he fell he put out his left hand to break his fall which lead to him hurting his hand and twisting his back. Immediate Cause Not taking five on surrounding area and underfoot conditions standing on manhole cover which was not properly fixed. Underlying Cause Walking on manhole cover that was not being securely fixed. Remedial Actions Manhole was covered with concrete cover and clearly marked so others could see it. No further investigation was required.",Level,Other: Earth,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS309384,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/0ea55c23-45cd-44cd-a088-df5ee269b9db#!/report,2018-04-10 12:30:00.000,201801,Neville Hill East Jcn.,slip trip or fall,PA-DU Leeds Operative slipped on wood at Neville Hill and bruised left knee.,"At 12:30 a DU Leeds Operative was unloading trackside at Neville Hill and they slipped on a piece of wood which was partially hidden under ballast and bruised their left knee.  First aid treatment was not administered. The injured party (IP) visited Otley Hospital where they had an xray which showed no serious damage, just bruising/swelling. It was anticipated that the IP would return to work the following day. Immediate cause: Slipped on loose ballast Underlying cause: Wet Conditions piece of wood in 4 foot on top of RRAP decking covered with ballast Remedial actions: Wood has been removed and all chipping cleared from RRAP. No further investigation required",Level,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS309571,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/bb3ad0cb-9994-46df-a0ab-be6cb38b31c7#!/report,2018-04-11 11:08:00.000,201801,Steventon (Oxon),slip trip or fall,"PA - Swindon DU MOS slipped  whilst digging out wet beds and sustained a groin strain, Steventon 55m 78ch","A Swindon DU MOS working on the MLN1 at Three Bridges, Steventon, 55m 78ch, was digging out wet beds when he slipped on a wet sleeper causing him to over stretchand pull his left groin. He did not require any hospital at the time but would be monitored. The IP had been wearing full PPE.",Level,Unknown,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309380,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6c6c27c2-5b5c-4cb7-a6b3-00c969226053#!/report,2018-04-11 11:37:00.000,201801,Brightside,slip trip or fall,PA-DU Doncaster Technician tripped and fractured left ankle at Brightside REB.,"At 11:37 a DU Doncaster Technician was carrying out duties at Brightside REB, when they tripped and twisted their left ankle and suspected that it was broken. An ambulance was called and the REB and the casualty's vehicle were secured. By 12:40 the casualty was removed and the access gate secured.  The injured party (IP) was detained in hospital overnight, and underwent an operation the following day.  Update 22/04/18: 7+ days lost time confirmed. Immediate cause: Injured party failed to establish a safe and secure foothold in exiting the REB enclosure. Underlying cause: Injured party did not give sufficient consideration of the suitability of immediate underfoot conditions in directly stepping onto the wooden boarder to complete the movement toward the vehicle. Remedial actions: Nevil Sinclair (Distribution & Plant technician, Doncaster) and Richard Chapman (Working Supervisor Distribution and Plant, Sheffield Blast lane) visited the site and have removed the wooden boarder and levelled the entrance surface to the enclosure. photographic evidence has been provided to this effect.  No further investigation required.",Level,Gravel,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,Other,Other cause,0.125,Workforce (on-duty): Specified
SMIS309379,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b39da183-c889-4ad7-8f1a-eaaa4c94ad64#!/report,2018-04-11 13:30:00.000,201801,Bickley,slip trip or fall,PA DU Orpington - MOS tripped and fell at Bickley/Tonbridge Loop injuring their hand and leg,"A member of Orpington P’Way was carrying out a track patrol on the Down Slow Tonbridge Loop (TLP2) at a location approximately 5 chains from the junction with the VIR. The IP was walking in the cess and moved to a safe position for a passing train. After the train had passed the IP returned to the cess and when doing so they tripped on some rose vegetation and they fell onto ballast, hurting their left hand and right leg. The IP reported that they felt like they were bruised but no skin was broken. They continued with the remainder of their shift. Immediate cause The IP engaged his boot within an invasive weed (vine) that had encroached on the CESS subsequently leading to the IP falling onto ballast.  Underlying cause Vegetation had not been treated or maintained in this area. The IP did not check his underfoot conditions.  Remedial actions Go, Look & See site visit completed the next day where area was sprayed up to highlight the hazards. Off Track cleared the area from vegetation on 16/04/18. Close Call raised & closed by WHSEA.",,,,Network Rail,Infrastructure worker,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309391,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/f27d0571-b318-4e1c-bcf1-06e81b4a9a93#!/report,2018-04-11 14:00:00.000,201801,Newcastle Rd LC,slip trip or fall,PA. Shrewsbury DU S&T staff tripped over a kerb at Newcastle Road LC,A member of Shrewsbury S&T was working at Newcastle Road level crossing. He sprained his ankle after catching the corner of the kerb when exiting the van. Later reported to be a broken metatarsal.,,,,Network Rail,Infrastructure worker,,,,0.125,Workforce (on-duty): Specified
SMIS309605,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/77ed1949-691c-433b-a733-f49ce30af591#!/report,2018-04-12 11:30:00.000,201801,Morris Cowley,slip trip or fall,"PA - Swindon DU MOS lost their footing on ballast and fell fracturing their wrist, Cowley Branch 18m 40c","A member of staff lost their footing whilst walking in the Cess on the Cowly Branch, 18m 40c, which resulted in him falling forward. As they fell they put out their arms to break the fall. The member of staff was taken to hospital and found to have fractured their right wrist in two places. 53 days lost. Immediate cause - As IP was walking along they lost footing on ballast. Underlying cause - The IP was walking along the cess and they lost their footing on the ballast, thus causing them to fall forward. As they fell forward they put their hands out to protect themselves, striking their right wrist which resulted in a fracture in 2 places.  Remedial actions - Take 5 carried out with all staff. Level 2 investigation required.",Level,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,,,0.125,Workforce (on-duty): Specified
SMIS309428,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/bbcd2420-06a6-4a85-a4cd-1d9f72b86dc5#!/report,2018-04-12 14:03:00.000,201801,Christs Hospital,slip trip or fall,DU Brighton - MOS tripped over bambles injuring their knee at Christs Hospital,"Walking in down cess at 39m 73cn on TBH1 when footing was lost by tripping on brambles. IP landed on his left knee & right elbow. At first IP believed no injuries sustained but after 4 hours IP was suffering from stiffening & swelling to his left knee. Immediate cause Whilst walking in the CESS the IP lost his footing due to loose ballast, brambles, what resulted in a fall and knee and wrist sprain. Underlying cause The IP turn to look back at something and twisted knee on the loose excess ballast on high canted track and feel down on to the knee that he at just twisted.   Remedial actions Staff members to be reminded to stay vigilant at all times when walking on track. Especially as carries he carries LOWS Controller unit",,,,Network Rail,Infrastructure worker,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309457,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e9a4b765-dd1a-4af0-a7ab-2b5a70f15f32#!/report,2018-04-13 12:30:00.000,201801,Stourton,slip trip or fall,PA-DU Leeds Operative slipped and scraped right hand at Stourton.,"At 12:30 a DU Leeds Operative was carrying a cobra and attachment to site at Stourton, when they slipped and put their hand down to save themselves. This resulted in a scrape and bruise between the thumb and finger of their right hand. First aid treatment was administered. Hospital treatment was not required. Absence from work was not anticipated. Immediate cause: Slipped on wet mud Underlying cause: Carrying equipment in a slippy environment Remedial actions : Brief on take 5 and assess conditions on sit, is it possible to take an alternative route, if not spread chippings on mud to create grip No further investigation required",Level,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS309465,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/ce1fe373-c7d7-464e-8c10-c0907a458a92#!/report,2018-04-13 14:40:00.000,201801,Kintbury,slip trip or fall,PA - Westbury PWay MOS slipped on thesteps down from the track at Heywood Road Junction and twisted his ankle,"A Westbury PWay MOS was walking from the track at Heywood Road Junction, down the steps when he slipped and twisted his right ankle. He was able to get back to his van. Hospital treatment was not required at the time but the IP will monitor the injury; he is not due back into work until Tuesday. The MOS confirmed he was wearing full PPE.  Staff report the steps are leaning forward at the access point.",Stepped,Brick,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing; The person's environment",Poor maintenance; Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS309519,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/51442187-bb99-45a7-a68f-21b8f044da01#!/report,2018-04-14 23:00:00.000,201801,Sevington Up HABDs (HOA88/89),slip trip or fall,PA NSC MOS tripped and fell backwards twisting his ankle at Sevington,"MOS was trying to lock gate around the WRAP and as he was doing so, he tripped and fell backwards twisting his ankle First aid refused by MOS Hospital visit declined Ok to continue shift Immediate cause FLHH MOS (Shunter/groundstaff) tripped falling backwards off a raised RRAP twisting his ankle. Underlying cause The lighting around the pedestrian access gates was insufficient Remedial Actions Additional lighting has been put in place to aid in identifying Slip, trips and fall hazards. The RRAP has been altered to remove the fall risk.",,,,"Freightliner Group, Network Rail",Infrastructure worker,,"Infrastructure, vehicles, equipment and clothing",Infrastructure or equipment design (not PPE),0.001,Workforce (on-duty): Non-severe
SMIS309508,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/aacfa5d8-82f6-4fab-b65f-2d8b63f682cf#!/report,2018-04-15 04:30:00.000,201801,Brixton,slip trip or fall,PA DU Orpington Pway member of staff slipped and twisted their ankle at Brixton SCO 36909,"The IP was working in the T3 possession where teams were carrying over a crossing renewal. The crossing has been lifted but one of the base plates did not have a key in and stayed on the floor. The IP picked up the base plate and started walking in the 4ft to put it on the trailer when he slipped on the sleeper and felt small twinge in his ankle. The IP thought nothing of it and carried on working without reporting the accident. Following his rest period the IP woke up with a swollen ankle and advised his line manager of his condition and that he would not be turning in for his next shift. The IP attended hospital where was advised to rest for few days.  Immediate cause The IP did not check his underfoot conditions whilst walking in the 4ft.  Underlying cause, The IP did not 'take 5' and asses next steps considering he was carrying a substantially heavy item. The base plate is significantly heavy that could reduce the IP's ankle manoeuvrability due to the weight added to his general body mass. Remedial actions DU has ordered ice packs to be distributed to all maintenance vans that in the event of somebody suffering any form of sprain or twist, instead of continuing to work staff should return to the van and apply the pack in an attempt to control any swelling and prevent further damage to the affected area.",,,,Network Rail,Infrastructure worker,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309471,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/2cf510a4-7605-4f06-8474-c619256f26dc#!/report,2018-04-15 04:30:00.000,201801,Willington,slip trip or fall,PA - STF - Derby based Track Worker was walking trackside at Willington carrying a Kango and fell over after slipping on ballast. EM034,"At 0430 the Injured Person (IP), a Derby DU Track Technician,  was walking with a Kango between Findern and Willington (replacing timbers) and fell over after slipping on ballast. No IP suffered bruising to his hand. No first aid was administered and the IP attended work for his next shift with no issues reported. Update from Level 1 Investigation: The was working with a team changing a longitudinal timber on bridge 102.  Whilst lifting a kango hammer from the skate he slipped on loose ballast which was on the bridge deck and fell backwards and the kango struck his hand causing swelling and bruising to the left thumb. No first aid was required, he just raised his hand in the air. He continued with his work but did not do any further manual handling.  No further medical assistance was required.  Immediate Cause Ballast on metal of bridge deck. Underlying Causes Failed to observe where he was placing his feet. Remedial Actions The team were to hold a safety conversation around how they inspect and remove any ballast from the bridge deck before starting work. No further investigation was required",,Ballast,,Network Rail,Infrastructure worker,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309459,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/8e3d863b-5e4e-4472-8e95-8d586675b055#!/report,2018-04-15 07:00:00.000,201801,Wimbledon (Main Line),slip trip or fall,PA - Staff Accident - WDU - IP sprained their left ankle after slipping on wet mud at Wimbledon,At 07:00 a member of staff belonging to the Wessex works delivery unit sprained their left ankle after slipping at Wimbledon. The injured person (IP) was working a water jet at the time and stepped off a small wall on to wet mud and slipped resulting in the injury. The IP experienced pain and discomfort but did not seek medical help at the time.  A later update stated the IP was at home resting the ankle,,,,Network Rail,,,,,0.001,Workforce (on-duty): Non-severe
SMIS309507,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/3051860e-7415-4929-9f13-7312cffa0db1#!/report,2018-04-16 10:20:00.000,201801,Stevenage,slip trip or fall,"PA - Kings Cross IME Lookout at Stevenage tripped and fell after getting caught in the brambles, resulting in injury to his right arm.","At 10.36 Kings Cross IME Pway reported that their lookout had tripped and fallen after getting his foot caught in the brambles whilst walking in the cess. Lookout injured his right arm, causing a scrape and cut.  First aid was given in the van and the lookout continued working. Lookout will not need any time off work to recover after the 6 hr update and the offending bramble was removed. Cause: overgrown vegetation Update from Level 1 Investigation: Immediate Cause Injured Person was looking out for trains and was not paying attention to the ground surface and tripped on a bramble across the cess. Underlying Cause Bramble across the cess. Remedial Actions Clear vegetation. No further investigation was needed.",Level,Ballast,,Network Rail,Lookout,Unknown,"Infrastructure, vehicles, equipment and clothing",overgrown vegetation; Obstructed walkway or track,0.001,Workforce (on-duty): Non-severe
SMIS309537,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/3ef7a5d7-6e25-4029-bd73-cc11ae003eed#!/report,2018-04-16 23:15:00.000,201801,Bletchley,slip trip or fall,PA: Route Businesses E & W Bletchley DU Operative suffered minor ankle injury due to slipping on ballast at Bletchley.,"Whilst carrying a disc cutter box from the Down Fast to the Up Fast wide way at Bletchley, an Operative stepped over the 10ft Rail and the ballast shoulder gave way causing them to slip and twist their right ankle. No lost time reported. Immediate cause: Whilst carrying a disc cutter in the box with one other person, the IP stepped over the rail onto the ballast and twisted his ankle.  Underlying cause: PIC not assessing the underfoot conditions and not walking through the site of work prior to the work to assess the conditions and communicate these to the staff. Remedial actions: Before staff undertake the task the PIC should have a look at the working area and communicate hazards associated with the area and task to all involved staff Section Manager to arrange a briefing session with the PICs to ensure that they are understanding and briefing the site risks",Sloped,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS309539,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/5bd1faf4-4d2b-467a-86a7-ed41addd7d92#!/report,2018-04-17 04:50:00.000,201801,Byfleet and New Haw,slip trip or fall,PA - Staff Accident - Inner DU - IP sprained their ankle while walking through an alleyway at Byfleet & New Haw,"At 04:50 a member of staff belonging to the Wessex inner delivery unit sprained their left ankle while walking at Byfleet and New Haw. The injured person (IP) was walking back through an alleyway after giving up a T3 possession when their left ankle gave way causing him to twist it. The ankle swelled and was quite painful at the time. The IP had previously twisted the same ankle about a month ago. NR2072p: The IP (Injured Person), a Network Rail Technician based at Woking,  was returning back to their van after picking up the Possession Limit Boards (PLB's) and pulling a hook switch at Addlestone Junction via Fisherman's crossing, which leads on to a public footpath.  Whilst walking down the footpath back to their van the IP's ankle gave way from underneath them and they fell to the ground. They were with another member of the team, who helped them to their feet and then back to the van.  The ground was muddy but level.  The IP had suffered an ankle injury the month previously (11/03/2018) whilst exiting a Network Rail vehicle at Hinchley Wood station. The IP aggravated this previous injury and required time off for recuperation. On their return, the IP was put on depot/yard duties, until they could be seen by Occupational Health. Immediate cause: Injured person losing footing on a muddy public footpath. Underlying cause: Exacerbation of a previous injury - ankle sprain (injured at work) on 11th of March 2018.  Poor condition of the public footpath, due to weather conditions. Remedial action: referral to Validium rehab-works, and OH (Occupational Health) Assist assessment. Briefed on the importance of checking underfoot conditions on and off track. First Aid: Yes Lost time: Yes 7+ Direct to hospital: No >24 hours in hospital: No",,,,Network Rail,Infrastructure worker,,Error or violation,Failing to stabilise body during travel,0.01,Workforce (on-duty): Severe 7
