"smis_reference","event_date","period","place","report_title","sub_event","personal_accident_type","fwi_2013"
SMIS238189,2018-04-06 18:00:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239962,2018-04-06 20:00:00.000,201801,Wembley Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238284,2018-04-07 15:30:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19528,2018-04-09 00:00:00.000,201801,Crewe Iemd,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS309348,2018-04-09 09:00:00.000,201801,Eastcroft LMD (Nottingham),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS309930,2018-04-09 13:15:00.000,201801,Coventry Sidings/Car Park MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS309347,2018-04-09 19:40:00.000,201801,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS309365,2018-04-10 06:55:00.000,201801,Jubilee Sidings (Weymouth),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19531,2018-04-10 09:45:00.000,201801,Scunthorpe Goods Yard,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3024717,2018-04-11 08:30:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19533,2018-04-11 12:30:00.000,201801,Stoke On Trent MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238312,2018-04-11 20:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238314,2018-04-11 22:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238313,2018-04-11 23:20:00.000,201801,Allerton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238287,2018-04-12 01:25:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238351,2018-04-12 10:05:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238308,2018-04-12 22:59:00.000,201801,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS02488,2018-04-13 02:30:00.000,201801,Shoeburyness CSD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS309842,2018-04-13 15:00:00.000,201801,Canton Buildings MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010349,2018-04-15 00:30:00.000,201801,Singlewell IMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238355,2018-04-15 06:40:00.000,201801,Didcot Tmd,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS238414,2018-04-16 00:00:00.000,201801,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238517,2018-04-16 12:00:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309530,2018-04-16 12:59:00.000,201801,"Westbury Tcd, Dn & Up Sidings & Wmo",Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238594,2018-04-16 23:30:00.000,201801,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS238412,2018-04-17 00:00:00.000,201801,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with railway infrastructure,0.001
SMIS238399,2018-04-17 02:00:00.000,201801,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021038,2018-04-17 06:40:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS309576,2018-04-17 09:00:00.000,201801,Stirling MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238401,2018-04-17 10:45:00.000,201801,Shipley MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309754,2018-04-17 13:30:00.000,201801,Soho LMD (Birmingham),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS309548,2018-04-17 13:50:00.000,201801,Hornsey LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238683,2018-04-17 17:00:00.000,201801,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238752,2018-04-17 23:30:00.000,201801,St Leonards LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS238427,2018-04-18 00:10:00.000,201801,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS02503,2018-04-18 01:25:00.000,201801,Neville Hill LMD (Ns) Northern Rail,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS309562,2018-04-18 03:35:00.000,201801,Farnham LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS309577,2018-04-18 16:05:00.000,201801,Clapham Jcn RSM Depot,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS309868,2018-04-18 22:20:00.000,201801,Canton Buildings MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS19561,2018-04-19 00:00:00.000,201801,Bristol St Philips Marsh LMD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238485,2018-04-20 09:23:00.000,201801,West Worthing Carriage Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",person interaction; slip trip or fall,"Slip, trip, fall",0.001
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",person interaction; slip trip or fall,Interaction with train,0.001
SMIS02502,2018-04-22 01:20:00.000,201801,Neville Hill LMD East Midlands Trains,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS309700,2018-04-22 10:50:00.000,201801,Hove Goods Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19548,2018-04-23 07:00:00.000,201801,Selhurst Depot,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238729,2018-04-24 03:05:00.000,201801,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS238575,2018-04-24 10:00:00.000,201801,Derby MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS02517,2018-04-24 10:30:00.000,201801,Allerton LMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.01
SMIS238659,2018-04-24 11:40:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS19582,2018-04-24 13:00:00.000,201801,East Ham LMD (London),Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238627,2018-04-26 03:00:00.000,201801,Hove Goods Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS02521,2018-04-26 11:00:00.000,201801,Heaton LMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS02520,2018-04-26 13:05:00.000,201801,Lovers Walk TMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS309783,2018-04-26 16:30:00.000,201801,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238653,2018-04-27 09:45:00.000,201801,Knottingley MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010099,2018-04-28 09:30:00.000,201801,Bounds Green LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3010277,2018-04-28 22:50:00.000,201801,Carmarthen MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19567,2018-04-29 00:00:00.000,201802,Bristol St Philips Marsh LMD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.01
SMIS309850,2018-04-29 00:00:00.000,201802,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238672,2018-04-29 10:00:00.000,201802,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238704,2018-04-29 10:05:00.000,201802,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238701,2018-04-29 13:45:00.000,201802,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010013,2018-04-29 20:55:00.000,201802,Wembley C Sidings,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238696,2018-04-30 00:00:00.000,201802,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238707,2018-04-30 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309865,2018-04-30 15:34:00.000,201802,Grove Park LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS19570,2018-05-01 00:00:00.000,201802,Reading (Cow Lane) MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238755,2018-05-01 11:00:00.000,201802,Ryde LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19569,2018-05-01 13:30:00.000,201802,Stoke On Trent MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238757,2018-05-01 19:40:00.000,201802,Clapham Junction LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,,0.001
SMIS309934,2018-05-01 22:15:00.000,201802,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238739,2018-05-02 01:25:00.000,201802,Bounds Green Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238725,2018-05-02 01:30:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010014,2018-05-02 11:40:00.000,201802,Salisbury LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS309925,2018-05-02 22:37:00.000,201802,DRS Rugby,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.125
SMIS19574,2018-05-03 01:03:00.000,201802,Stoke On Trent MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS238776,2018-05-03 06:00:00.000,201802,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239469,2018-05-03 21:15:00.000,201802,Soho LMD (Birmingham),"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS02529,2018-05-04 00:00:00.000,201802,Doncaster Down Decoy,Awkward Body Movement,awkward body movement,Awkward body movement,0.01
SMIS309999,2018-05-04 00:05:00.000,201802,Welwyn Gdn City LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238850,2018-05-04 05:05:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19584,2018-05-04 06:00:00.000,201802,Shoeburyness CSD,Other event resulting in injury or fatality,other event resulting in injury fatality; vandalism,,0.001
SMIS238840,2018-05-04 09:15:00.000,201802,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS3010032,2018-05-04 13:20:00.000,201802,Allerton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238863,2018-05-05 00:11:00.000,201802,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010410,2018-05-06 08:23:00.000,201802,Holyhead LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS239543,2018-05-07 01:00:00.000,201802,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238792,2018-05-07 02:00:00.000,201802,Glasgow Central Salkeld St MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309987,2018-05-07 15:58:00.000,201802,Three Bridges Maintenance Depot,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238926,2018-05-08 09:30:00.000,201802,Bournemouth Middle Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010129,2018-05-08 10:35:00.000,201802,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238879,2018-05-08 20:30:00.000,201802,Grove Park LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010076,2018-05-08 23:30:00.000,201802,Holyhead LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS238874,2018-05-09 17:10:00.000,201802,Crawley New Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010219,2018-05-10 00:28:00.000,201802,Salisbury LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19586,2018-05-10 08:30:00.000,201802,Wigan Nw MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS4320799,2018-05-10 09:00:00.000,201802,Bounds Green LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS238932,2018-05-11 09:20:00.000,201802,Scunthorpe MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238970,2018-05-12 04:00:00.000,201802,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238957,2018-05-12 23:45:00.000,201802,Cardiff Canton MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with road vehicle,0.001
SMIS239110,2018-05-13 02:00:00.000,201802,Barton Mills LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010190,2018-05-14 10:00:00.000,201802,Tyseley LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238984,2018-05-14 11:00:00.000,201802,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS21207,2018-05-14 11:00:00.000,201802,Stewarts Lane LMD (London),Person exposed to a hazardous substance,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS3010236,2018-05-15 05:30:00.000,201802,Barnham MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS02535,2018-05-15 06:55:00.000,201802,Hornsey LMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS239040,2018-05-15 08:45:00.000,201802,Warrington Arpley MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239071,2018-05-16 00:00:00.000,201802,Haymarket TMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239119,2018-05-16 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19595,2018-05-16 07:05:00.000,201802,East Ham LMD (London),Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS239066,2018-05-17 02:09:00.000,201802,Tonbridge MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.125
SMIS4320805,2018-05-17 04:40:00.000,201802,Craigentinny LMD (Edinburgh),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239067,2018-05-17 05:39:00.000,201802,Dartford Station Approach MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010294,2018-05-17 12:45:00.000,201802,Hornsey LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010560,2018-05-18 04:30:00.000,201802,Heaton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3010408,2018-05-18 10:30:00.000,201802,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.125
SMIS21213,2018-05-19 01:34:00.000,201802,Bournemouth West LMD,Person exposed to a hazardous substance,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS02540,2018-05-19 19:30:00.000,201802,Tyseley LMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS19609,2018-05-20 00:00:00.000,201802,Reading (Cow Lane) MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS239152,2018-05-20 04:50:00.000,201802,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239639,2018-05-20 08:30:00.000,201802,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010295,2018-05-21 01:00:00.000,201802,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS19598,2018-05-21 11:00:00.000,201802,Crown Point LMD (Norwich),Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS19666,2018-05-21 12:00:00.000,201802,Aylesbury LMD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3010386,2018-05-21 12:00:00.000,201802,Doncaster Csdc,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010340,2018-05-21 12:31:00.000,201802,Northampton Station MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS02543,2018-05-21 17:26:00.000,201802,Strawberry Hill LMD (London),Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS239191,2018-05-22 00:07:00.000,201802,Shields LMD (Glasgow),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS02600,2018-05-22 00:15:00.000,201802,Clapham Junction LMD (London),Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS02542,2018-05-22 09:00:00.000,201802,Lovers Walk TMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS239200,2018-05-22 10:30:00.000,201802,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239413,2018-05-22 20:30:00.000,201802,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239667,2018-05-23 00:15:00.000,201802,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239670,2018-05-23 00:30:00.000,201802,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS3010549,2018-05-23 12:05:00.000,201802,East Ham LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS239189,2018-05-23 15:00:00.000,201802,Newport Godfrey Rd MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010433,2018-05-24 00:25:00.000,201802,Welwyn Gdn City LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3025306,2018-05-24 07:35:00.000,201802,Bounds Green LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS239477,2018-05-24 11:30:00.000,201802,Ilford LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239219,2018-05-24 12:40:00.000,201802,Kirkdale TCS (LMD) (Liverpool),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2311158,2018-05-24 23:00:00.000,201802,Irvine Up Yard/SandT Workshops,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239221,2018-05-25 01:15:00.000,201802,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,,0.001
SMIS239611,2018-05-26 06:00:00.000,201802,Ilford LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239311,2018-05-28 13:20:00.000,201803,Gillingham (Kent) MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239478,2018-05-29 10:15:00.000,201803,Ilford LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239337,2018-05-29 14:15:00.000,201803,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239314,2018-05-29 16:10:00.000,201803,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19620,2018-05-30 09:15:00.000,201803,Stoke On Trent MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS19619,2018-05-30 09:30:00.000,201803,Cardiff Tidal,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3020203,2018-05-30 13:40:00.000,201803,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010575,2018-05-30 15:45:00.000,201803,Fratton Tcd (LMD),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010565,2018-05-30 22:30:00.000,201803,Haymarket LMD (Edinburgh),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS19623,2018-05-31 13:15:00.000,201803,DRS Carlisle - Kingmoor,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3010582,2018-05-31 15:00:00.000,201803,Salisbury LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS239385,2018-06-01 02:55:00.000,201803,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239410,2018-06-01 11:33:00.000,201803,Northampton Bridge St MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239437,2018-06-02 00:00:00.000,201803,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3010686,2018-06-02 12:50:00.000,201803,Allerton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2310117,2018-06-04 02:20:00.000,201803,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2311902,2018-06-04 12:10:00.000,201803,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS19643,2018-06-04 13:00:00.000,201803,Romford MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3012387,2018-06-05 01:30:00.000,201803,Bournemouth West LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS02566,2018-06-05 11:30:00.000,201803,East Ham LMD (London),Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS3010669,2018-06-05 12:30:00.000,201803,Brighton Ced Swimu MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3010751,2018-06-05 12:30:00.000,201803,Brighton MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS239743,2018-06-05 15:30:00.000,201803,Tonbridge MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239852,2018-06-05 16:00:00.000,201803,Birkenhead North LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239849,2018-06-05 18:45:00.000,201803,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
