"smis_reference","event_date","period","place","report_title","personal_accident_type","description"
SMIS238171,2018-04-05 12:44:00.000,201801,Brighton Ced Swimu MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA: DU Brighton MOS cut his fore finger on his right hand whilst opening boxes at Brighton CED
SMIS238252,2018-04-05 13:30:00.000,201801,Allerton LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Driver working 1B21 13:30 Preston - York reports been struck by a on the head by a ceiling light cover when  approaching Horseforth Tunnel
SMIS382850,2018-04-05 16:00:00.000,201801,Ore Carriage Sdgs/EMU Depot,Vandalism,,Vandalism - 5D28 reported three youths were  throwing stones at trains at Ore Up Siding.
SMIS383767,2018-04-05 16:08:00.000,201801,West Ruislip Sidings,Vandalism,,"5531 - Graffiti on 5H55 unit 165034 vehicle 55409 at West Ruislip"
SMIS2213454,2018-04-05 16:39:00.000,201801,Tilcon Siding,Person in a prohibited area,,Trespass-Male trespasser on Hull Docks branch.
SMIS382912,2018-04-06 00:00:00.000,201801,Kirkdale TCS (LMD) (Liverpool),Vandalism,,Unit 508125 was vandalised with grafitti on one coach whilst stabled on South Run Round overnight at Kirkdale Depot.
SMIS238188,2018-04-06 00:27:00.000,201801,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA: Route businesses E&W Stafford DU Technician suffered minor finger injury when moving Fast extractor at Stoke depot.
SMIS21192,2018-04-06 08:00:00.000,201801,Newton Heath LMD (Manchester),Person exposed to a hazardous substance,Hazardous susbstance,Fitter sprayed with coolant
SMIS374498,2018-04-06 12:12:00.000,201801,Crewe Coal Yard SB,"Train striking or struck by animal, object or road vehicle",,TSBS: DBC 4M25 0606 Mossend to Daventry reported a bicycle was thrown onto the line and knocked onto the adjacent line at Crewe Coal Yard
SMIS238189,2018-04-06 18:00:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff Acc - caught finger when testing Dellner roll cover Hornsey Depot 06/04/2018
SMIS239962,2018-04-06 20:00:00.000,201801,Wembley Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","5671/18 - A member of staff banged their knee when climbing into a coach using the outside steps"
SMIS2213495,2018-04-07 03:14:00.000,201801,Gillingham/Chatham Dockyard,Person in a prohibited area,,"Trespass- Kent police reported that four youths had jumped over the boundary fencing at Bedgar road, Gillingham."
SMIS267860,2018-04-07 03:20:00.000,201801,Wimbledon LMD (London),Railway operating incident,,"IR 07/03/2018 Wimbledon TCD: During a shunt move in number 4 road in the top yard, 707010 was attached to 707003 which had a NTMB attached as a fitter was working onboard the unit."
SMIS267546,2018-04-07 05:45:00.000,201801,Salisbury LMD,Railway operating incident,,IW 07/04/2018 Salisbury TCD: Shunt move undertaken on the depot with a NTMB still attached to the unit.
SMIS383766,2018-04-07 07:00:00.000,201801,Birmingham Moor Street Sidings,Vandalism,,"5624 - Graffiti on @HEAD@ 168321 79301 at Bghm Moor St Sidings"
SMIS2213579,2018-04-07 15:18:00.000,201801,Neville Hill Depot East console,Person in a prohibited area,,Trespass-Child ran over lines in the Neville Hill Depot area reported by 1P45 (14:53 York-Manchester Airport).
SMIS238284,2018-04-07 15:30:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff Acc - hit hand with  hammer face whilst fastening of the adjustable anti-roll bar link on the coach DMCB No2 Bogie on unit 313025 Hornsey Depot 07/04/2018
SMIS05129,2018-04-07 21:10:00.000,201801,Etches Park LMD (Derby),Electric shock,Electric shock,Electric shock at Etches Park
SMIS2213572,2018-04-08 15:49:00.000,201801,Yardley Wood,Person in a prohibited area,,Trespass -   2S14 1426 Worcester Foregate St to Stratford-Upon-Avon reported 3 youths  sat in the Down side cess in the vicinity of Bridge 15 at Yardley Wood.
SMIS362400,2018-04-09 00:00:00.000,201801,Scunthorpe Goods Yard,Train Fault,,"6D15 12:08 Redcar - Scunthorpe reports that loco 60059 and the first wagon SSA 470167 have become buffer locked on 11 road."
SMIS19528,2018-04-09 00:00:00.000,201801,Crewe Iemd,Other event resulting in injury or fatality,,PM that staff member has suffered a personal accident whilst alighting 67023 on Crewe IETD
SMIS06960,2018-04-09 00:00:00.000,201801,Tyseley LMD,Environmental contamination,,Worcester Depot -  Failure to follow Operational Instructions/Environmental Damage
SMIS309348,2018-04-09 09:00:00.000,201801,Eastcroft LMD (Nottingham),Slip trip or fall,"Slip, trip, fall",STF at Eastcroft
SMIS382885,2018-04-09 12:59:00.000,201801,Wembley C Sidings,Vandalism,,Graffiti on train
SMIS309930,2018-04-09 13:15:00.000,201801,Coventry Sidings/Car Park MDU,Slip trip or fall,"Slip, trip, fall",Senior conductor tripped on the top step at Coventry depot
SMIS309347,2018-04-09 19:40:00.000,201801,Neville Hill LMD East Midlands Trains,Slip trip or fall,"Slip, trip, fall",STF at Neville hill
SMIS309365,2018-04-10 06:55:00.000,201801,Jubilee Sidings (Weymouth),Slip trip or fall,"Slip, trip, fall",Driver STF in Jubilee Sidings
SMIS19531,2018-04-10 09:45:00.000,201801,Scunthorpe Goods Yard,Other event resulting in injury or fatality,,Driver was walking around the front of 66020 (lead end of 6D62 departing Killingholme) to operate the BIS when he caught his foot in a bramble
SMIS383010,2018-04-11 00:30:00.000,201801,Guide Bridge MDU,Vandalism,,Vandalism: Colas Rail reported a machine had sustained a smashed window at Guide Bridge
SMIS267603,2018-04-11 00:53:00.000,201801,Kings Heath Depot,Railway operating incident,,"2K37 - Euston to Milton Keynes Central  - Pass on ECS at Kings Heath"
SMIS34121,2018-04-11 03:15:00.000,201801,Bounds Green LMD,Train colliding with another train,,Collision at Bounds Green Depot between BN04 and BN29
SMIS267569,2018-04-11 08:23:00.000,201801,Ore Carriage Sdgs/EMU Depot,Railway operating incident,,OCC - 2D09 (07:38 Eastbourne - Ore) inadvertently signalled into Ore sidings on top of 2D08 (08:22 Ore-Brighton)
SMIS3024717,2018-04-11 08:30:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,"Slip, trip, fall",Craigentinny in M1 pitted road - Band A tripped over a scotch which had been left in the pit in M1 and injured his right foot/ankle.  No first aid administered.
SMIS07979,2018-04-11 09:03:00.000,201801,Barton Mill Carriage Depot,Fire or explosion (train),,Fire - A cable fire was reported within Barton Mill
SMIS267739,2018-04-11 10:00:00.000,201801,Bournemouth West LMD,Railway operating incident,,Collision on Depot 11/04/2018 Bournemouth Depot. Low impact between two unit couplers during shunt move in the depot.
SMIS19533,2018-04-11 12:30:00.000,201801,Stoke On Trent MDU,Other event resulting in injury or fatality,,GSTM lost his grip of the plate as they were picking it up and his end fell to the floor.
SMIS238312,2018-04-11 20:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",ACM component fell on staff's shin after supporting studs broke Ramsgate depot 376028
SMIS267579,2018-04-11 21:55:00.000,201801,St Philips Marsh HST Depot,Railway operating incident,,Wrong Route - 5G60 (2203 Bristol Temple Meads - St Philips Marsh Depot) was wrongly routed out of platform 13 onto the UML. Route taken.
SMIS238314,2018-04-11 22:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff contractor bent down to pick up dropped items and hit head on yellow post Ramsgate depot 11Road stops end
SMIS238313,2018-04-11 23:20:00.000,201801,Allerton LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",STM injured finger when coiling CET hose
SMIS238287,2018-04-12 01:25:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor 39172 12/04/2018 Farnham Trancare Depot: A contract cleaner on Farnham sustained a cut to their finger from a piece of glass.
SMIS238351,2018-04-12 10:05:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",TPO needle stick injury
SMIS21193,2018-04-12 13:00:00.000,201801,Neville Hill LMD (Ns) Northern Rail,Person exposed to a hazardous substance,Hazardous susbstance,Fitter covered in contents of toilet
SMIS182513,2018-04-12 15:05:00.000,201801,Crewe Coal Yard SB,"Object, road vehicle or animal on or near the line",,Objects: Youths messing about on a bridge and placing object on the line at Crewe Coal Yard
SMIS238308,2018-04-12 22:59:00.000,201801,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor Acc - injury occurred when CET and tanking Horsham Field Sidings 12/04/2018
SMIS016076,2018-04-13 02:30:00.000,201801,Newton Heath LMD (Manchester),Assault and abuse,Assault or abuse,DTL threatened by male over-carried to Newton Heath Depot
SMIS02488,2018-04-13 02:30:00.000,201801,Shoeburyness CSD,Awkward Body Movement,Awkward body movement,Traincare Cleaner suffered back pain as he bent down to retrieve rubbish from floor.
SMIS267745,2018-04-13 11:02:00.000,201801,Newton Heath DMU Depot,Railway operating incident,,"2J64 11:02 Manchester Victoria - Blackburn suffered a DOIT at Newton Heath"
SMIS309842,2018-04-13 15:00:00.000,201801,Canton Buildings MDU,Slip trip or fall,"Slip, trip, fall","13042018 CTN [MINOR]- Driver twisted ankle on depot"
SMIS374538,2018-04-13 17:28:00.000,201801,Crewe Coal Yard SB,"Train striking or struck by animal, object or road vehicle",,TSBS: WMT 1L85 1634 Liverpool Lime Street - Birmingham ran over ballast on the railhead at Crewe Coal Yard
SMIS117269,2018-04-14 07:59:00.000,201801,Earles Sidings,Irregular signal aspect sequence,,COA:  EMT 1R52 0640 Nottingham to Liverpool Lime Street at ES31(R) signal Earles G/Y due to a power surge
SMIS182542,2018-04-14 13:43:00.000,201801,Crewe Coal Yard SB,"Object, road vehicle or animal on or near the line",,Objects: WMT 1F43 1236 Birmingham New Street - Liverpool Lime Street reported ballast placed on the railhead north of Crewe Coal Yard
SMIS3010349,2018-04-15 00:30:00.000,201801,Singlewell IMD,Slip trip or fall,"Slip, trip, fall","PA DU Singlewell slipped exiting a lorry, injurying his groin at Singlewell (HS1)"
SMIS267650,2018-04-15 05:20:00.000,201801,Stoke Gifford Sidings,Railway operating incident,,"OCC - Aspins / Balfour Beatty RRV entered worksite without authority, Stoke Gifford Sidings. [SCO36900] IP-GW&C"
SMIS238355,2018-04-15 06:40:00.000,201801,Didcot Tmd,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","PA - Swindon DU MOS was lifting a generator with his colleague and strained his left forearm, Didcot Depot"
SMIS238414,2018-04-16 00:00:00.000,201801,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",FO3 Fitter at St Phillips marsh Depot was struck by an air pipe during fitment
SMIS311131,2018-04-16 07:00:00.000,201801,Grove Park LMD (London),Speed restriction warning  board fault or irregularity,,Warning Boards - 5N17 07+03 Grove Park Down Sidings - Barnehurst reported a fallen ESR board at Grove Park
SMIS238517,2018-04-16 12:00:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Fitter struck in face by crane chain and hook
SMIS309530,2018-04-16 12:59:00.000,201801,"Westbury Tcd, Dn & Up Sidings & Wmo",Slip trip or fall,"Slip, trip, fall",GSTM was working on NAACO JIA type wagon when he slipped on some china clay and fell over on the wagon
SMIS07992,2018-04-16 16:59:00.000,201801,Clapham Junction Sidings 1-33,Fire or explosion (train),,Fire - 5L91 (SWR 16:44 Clapham Yard to London Waterloo) reported smoke coming from the sleepers near W1034 signal at Clapham
SMIS2213936,2018-04-16 20:00:00.000,201801,Queens Head Sidings,Person in a prohibited area,,Trespass: Member of public reported trespassing at Queens Head.
SMIS238594,2018-04-16 23:30:00.000,201801,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",Interaction with train,Technician was struck by the air line off a unit at Tyseley
SMIS238412,2018-04-17 00:00:00.000,201801,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",Interaction with railway infrastructure,Contact Other at Neville Hill
SMIS238399,2018-04-17 02:00:00.000,201801,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 40126 17/04/2018 Shift Manager sustained a cut to their head when they struck their head on the open top half of the PAU panel on a 707 unit
SMIS3021038,2018-04-17 06:40:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,"Slip, trip, fall",A band A Craigentinny Depot employee tripped over a raised section of flooring and injured their right shoulder and bumped their head.
SMIS309576,2018-04-17 09:00:00.000,201801,Stirling MDU,Slip trip or fall,"Slip, trip, fall",STF IPSNE: Contractors repotrd a MOS fell on office steps and injured left shin and head at Stirling. SCO36922.
SMIS238401,2018-04-17 10:45:00.000,201801,Shipley MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","PA-DU Leeds Section Planner struck in face, causing cut lip, when gate sprang back at Shipley Depot Sidings access point."
SMIS309754,2018-04-17 13:30:00.000,201801,Soho LMD (Birmingham),Slip trip or fall,"Slip, trip, fall",Technician fell whilst disposing of a washing unit in the skip
SMIS309548,2018-04-17 13:50:00.000,201801,Hornsey LMD,Slip trip or fall,"Slip, trip, fall",TMA slipped and chipped tooth- Hornsey Train Maintenance depot- 14/04/2018
SMIS238683,2018-04-17 17:00:00.000,201801,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Depot staff injury whilst checking train-Selhurst engineering depot-17/04/2018
SMIS21195,2018-04-17 20:30:00.000,201801,Allerton LMD,Person exposed to a hazardous substance,Hazardous susbstance,Fitter covered in human waste from blocked unit toilet Allerton
SMIS238752,2018-04-17 23:30:00.000,201801,St Leonards LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","Cleaner reports injured arm cleaning under chairs, WEST MARINA Depot 375813"
SMIS267740,2018-04-18 00:00:00.000,201801,Reading (Cow Lane) MDU,Railway operating incident,,Unscheduled additional move onto Reading TCD passed a Car Marker Board without authority
SMIS238427,2018-04-18 00:10:00.000,201801,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 24832 18/04/2018 Salisbury: MB2 felt a slight twinge in their back whilst operating points hand on Salisbury Traincare Depot
SMIS02503,2018-04-18 01:25:00.000,201801,Neville Hill LMD (Ns) Northern Rail,Awkward Body Movement,Awkward body movement,Fitter injured shoulder when moving coolant cart
SMIS309562,2018-04-18 03:35:00.000,201801,Farnham LMD,Slip trip or fall,"Slip, trip, fall",Staff 39177 18/04/2018 ISS Contractor train cleaner STF boarding unit 458525 at Farnham Traincare Depot
SMIS2214247,2018-04-18 07:53:00.000,201801,Cardiff Canton MDU,Person in a prohibited area,,"1W12/175111 Overcarried onto Canton Depot"
SMIS06991,2018-04-18 14:15:00.000,201801,"Bescot Tcd, Dn & Up Yards",Environmental contamination,,Environmental (CAT 4): Wheelie bin containing various types ofrubbish was fly tipped at gate to Bescot AHD. SCO 36947.
SMIS309577,2018-04-18 16:05:00.000,201801,Clapham Jcn RSM Depot,Slip trip or fall,"Slip, trip, fall",PA - Staff Accident - Inner DU - IP slipped on a wet floor at Clapham Depot causing swelling and bruising to the right knee and a sprain to the left shoulder
SMIS267746,2018-04-18 21:15:00.000,201801,Farnham LMD,Railway operating incident,,IR 18/04/2018 Farnham TCD: Route set for occupied road during shunt move between CET Road and number 14 road.
SMIS309868,2018-04-18 22:20:00.000,201801,Canton Buildings MDU,Slip trip or fall,"Slip, trip, fall","18042018 CTN 048 [MINOR][LTI]- Cleaner slipped on oil"
SMIS19561,2018-04-19 00:00:00.000,201801,Bristol St Philips Marsh LMD,Other event resulting in injury or fatality,,Late reported contractor accident at St Philips Marsh
SMIS382955,2018-04-19 09:33:00.000,201801,Burrows Sidings,Vandalism,,Vandalism. PT451 signal lenses smashed at Swansea Burrows sidings
SMIS117376,2018-04-19 09:40:00.000,201801,Sandiacre Depot,Irregular signal aspect sequence,,"Signal Passed (E)-0S00 (Shunt Move) at TC4581 signal at Sandiacre, due to signaller error."
SMIS35182,2018-04-19 11:15:00.000,201801,Letchworth (LMD),Train derailment,,"5F43 Derailment Letchworth Carriage Siding 19/04/2018 NO INJURY"
SMIS2214038,2018-04-19 17:55:00.000,201801,Crewe Coal Yard SB,Person in a prohibited area,,Trespass -  6K05 (1246 Carlisle Yard - Basford Hall Yard) reported children in the down slow cess near Broad Street
SMIS383764,2018-04-20 00:00:00.000,201801,Stourbridge Junction Sidings,Vandalism,,"6443 - Vandalism of Fence / Gate at Stourbridge Jct Station with Damage Minor"
SMIS267790,2018-04-20 01:00:00.000,201801,Freightliner Crewe Basford Hall,Railway operating incident,,Theft from freight container
SMIS238485,2018-04-20 09:23:00.000,201801,West Worthing Carriage Sidings,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA -WD Contractor received a small cut to his wrist at West Worthing Sidings
SMIS253010,2018-04-20 11:57:00.000,201801,York Yard North,Railway infrastructure fault,,PWay Failure-Dewirement at York Yard.
SMIS267758,2018-04-20 13:34:00.000,201801,Newton Heath DMU Depot,Railway operating incident,,Wrong route: NT 5T85 1318 Newton Heath TMD to Huddersfield at MN902 signal Newton Heath.  Route not taken
SMIS117428,2018-04-20 17:25:00.000,201801,North Pole Depot,Irregular signal aspect sequence,,"Signal obscured - 5P33 (1637 Paddington - North Pole Depot) reported SN101 signal at North Pole International Depot was very difficult to see as the aspect was very dim, possibly misaligned"
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person","Slip, trip, fall","158830 20042018 MCN 043 [MINOR][LTI]- Employee fell when handle of bowden cable detached"
SMIS238841,2018-04-20 21:30:00.000,201801,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",Interaction with train,"158830 20042018 MCN 043 [MINOR][LTI]- Employee fell when handle of bowden cable detached"
SMIS267806,2018-04-21 00:00:00.000,201801,Tyseley LMD,Railway operating incident,,Other -  Shunt movement at Tyseley
SMIS383763,2018-04-21 07:00:00.000,201801,Wembley Depot,Vandalism,,"6477 - Graffiti on STABLED AL05 12017 at Wembley Depot"
SMIS02502,2018-04-22 01:20:00.000,201801,Neville Hill LMD East Midlands Trains,Awkward Body Movement,Awkward body movement,Strain / Sprain at Neville Hill
SMIS309700,2018-04-22 10:50:00.000,201801,Hove Goods Yard,Slip trip or fall,"Slip, trip, fall",PA WD - MOS fell over and wrenched his shoulder whilst working in Hove Sidings
SMIS2214085,2018-04-22 12:55:00.000,201801,Yardley Wood,Person in a prohibited area,,"Trespass - MOP reported 2 men on the railway at the rear of their property on Stonerwood Avenue, Yardley Wood side of Hall Green."
SMIS268584,2018-04-23 00:11:00.000,201801,Hove Goods Yard,Railway operating incident,,OCC -T1899 Points Run through  at Hove Sidings
SMIS268440,2018-04-23 04:35:00.000,201801,Newton Heath DMU Depot,Railway operating incident,,"5J00 04:35 Oldham end lane - Dean lane  sidings suffered an operating incident at Dean lane sentance."
SMIS19548,2018-04-23 07:00:00.000,201801,Selhurst Depot,Other event resulting in injury or fatality,,Shampoo bottle fell on staff member foot whilst changing for work- Selhurst Engineering Depot- 22/04/2018
SMIS2267284,2018-04-23 18:47:00.000,201801,Colchester Ex Seimu MDU,Person in a prohibited area,,Passenger Over-Carried - Colchester Yard
SMIS238729,2018-04-24 03:05:00.000,201801,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",A Band B at Craigentinny trapped his finger when the lid from the 3 Phase Receptacle dropped.
SMIS19555,2018-04-24 04:10:00.000,201801,Hoo Junction,Other event resulting in injury or fatality,,GSTM  was climbing out from in between two wagons when he banged his back on one of the wagon buffers.
SMIS268832,2018-04-24 08:10:00.000,201801,Craigentinny LMD (Edinburgh),Railway operating incident,,"1E05 arrived into Berwick with the front door on Coach M on the catch"
SMIS238575,2018-04-24 10:00:00.000,201801,Derby MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA-IP Contractor bumped head whilst putting rails onto sleepers at Derby Sidings Yard. SCO ref 37054.
SMIS02517,2018-04-24 10:30:00.000,201801,Allerton LMD,Awkward Body Movement,Awkward body movement,Fitter injured back when working on unit 142033
SMIS238659,2018-04-24 11:40:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",Interaction with train,TPL injured ear on open roof panel
SMIS19582,2018-04-24 13:00:00.000,201801,East Ham LMD (London),Other event resulting in injury or fatality,,Bombardier Depot Storeman suffered puncture injury to left hand whilst unpacking a new component
SMIS374659,2018-04-25 12:20:00.000,201801,Wimbledon LMD (London),"Train striking or struck by animal, object or road vehicle",,Train struck by forklift on depot 25/04/2018 Wimbledon TCD: A forklift on Wimbledon TCD was being used to move a waste oil container when it scraped against unit 455729
SMIS117542,2018-04-25 22:49:00.000,201801,Stewarts Lane Depot,Irregular signal aspect sequence,,COA – VC525 signal at Stewarts Lane Depot changed in front of 5T21 (22:26 Victoria to Stewarts Lane Depot) Due to Signaller error.
SMIS13757,2018-04-26 00:19:00.000,201801,Singlewell IMD,Life saving rule breach,,LSR Breach – Kent Police Speeding Offence. Speed limit exceeded in Network Rail Vehicle.
SMIS238627,2018-04-26 03:00:00.000,201801,Hove Goods Yard,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA - WD - Whilst using a jack the jack slipped causing the IP to fall and injured his back at Hove
SMIS02521,2018-04-26 11:00:00.000,201801,Heaton LMD,Awkward Body Movement,Awkward body movement,Fitter jarred back
SMIS02520,2018-04-26 13:05:00.000,201801,Lovers Walk TMD,Awkward Body Movement,Awkward body movement,Staff Member Pulled back working on train- Brighton Lovers Walk Engineering Depot- 26/04/2018
SMIS061017,2018-04-26 14:00:00.000,201801,Crewe Gresty,Environmental contamination,,Environmental: Lorry struck the weighbridge at Crewe MHD resulting in the spillage of about 500 litres of diesel from the lorry
SMIS309783,2018-04-26 16:30:00.000,201801,Crown Point LMD (Norwich),Slip trip or fall,"Slip, trip, fall",Driver STF on ballast by buffer stops on Rd 7 at NCP
SMIS2214343,2018-04-26 19:00:00.000,201801,Dockyard,Person in a prohibited area,,"Trespass - 5Z77 (1701 Penzance - Paddington) observed a person on the Down line, between Dockyard and Keyham."
SMIS2215987,2018-04-27 01:36:00.000,201801,Farnham Traincare Depot,Person in a prohibited area,,Trespass - Farnham shunter reported youths trackside in the vicinity of the sheds at Farnham Carriage Servicing Depot
SMIS33330,2018-04-27 05:45:00.000,201801,Tees Yard,Train axle or wheel loading fault detection,,"6E47  Margam - Middlesborough has activated Sessay Wheelchex axle 10 RHS 362kN, axle 57 RHS 382kN and axle 69 RHS 567kN."
SMIS238653,2018-04-27 09:45:00.000,201801,Knottingley MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA-DU York Section Administrator broke skin on finger whilst shuffling paper at Knottingley PWay Depot.
SMIS267945,2018-04-27 10:37:00.000,201801,Hoo Junction,Railway operating incident,,OCC - Wagon No 950232 ran out of the sidings and onto the main line at Hoo Jnc
SMIS1562,2018-04-27 12:25:00.000,201801,Mossend Euro Terminal,Machine plant equipment or tool failure,,Mossend Euroterminal Supervisor that a Celtic Energy 20 foot container had been lifted off a rail wagon by a reachstacker when the bottom of the container failed due to corrosio
